時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 404 	 5 	 126 	 264 	 2,268 	 2,826 	 3 	0	 47 
89年 1月	 10 	 1 	 4 	 30 	 223 	 338 	0	0	 10 
89年 2月	 41 	 1 	 12 	 16 	 227 	 388 	 1 	0	 5 
89年 3月	 4 	0	 14 	 14 	 187 	 271 	0	0	 4 
89年 4月	 12 	0	 8 	 18 	 132 	 206 	0	0	 3 
89年 5月	 7 	 1 	 16 	 29 	 208 	 246 	0	0	 5 
89年 6月	 58 	0	 9 	 12 	 179 	 177 	0	0	 2 
89年 7月	 65 	 1 	 14 	 27 	 193 	 222 	0	0	 4 
89年 8月	 22 	0	 10 	 19 	 195 	 243 	0	0	 4 
89年 9月	 11 	0	 10 	 32 	 187 	 218 	 1 	0	0
89年 10月	 59 	0	 10 	 24 	 182 	 212 	 1 	0	 3 
89年 11月	 26 	0	 13 	 21 	 203 	 183 	0	0	 5 
89年 12月	 89 	 1 	 6 	 22 	 152 	 122 	0	0	 2 
90年	 331 	 3 	 143 	 217 	 1,651 	 956 	0	0	 505 
90年 1月	 32 	0	 10 	 25 	 160 	 147 	0	0	 8 
90年 2月	 59 	 1 	 4 	 13 	 116 	 119 	0	0	 4 
90年 3月	 14 	0	 6 	 14 	 118 	 90 	0	0	 3 
90年 4月	 8 	0	 8 	 16 	 133 	 112 	0	0	 2 
90年 5月	 79 	0	 14 	 22 	 121 	 100 	0	0	 5 
90年 6月	 8 	0	 7 	 11 	 142 	 76 	0	0	 15 
90年 7月	 3 	0	 9 	 12 	 74 	 40 	0	0	 84 
90年 8月	 3 	 1 	 7 	 19 	 121 	 47 	0	0	 86 
90年 9月	 17 	 1 	 16 	 24 	 195 	 77 	0	0	 103 
90年 10月	 9 	0	 23 	 12 	 132 	 46 	0	0	 75 
90年 11月	 47 	0	 16 	 24 	 161 	 45 	0	0	 59 
90年 12月	 52 	0	 23 	 25 	 178 	 57 	0	0	 61 
91年	 198 	 1 	 213 	 247 	 2,337 	 826 	 23 	0	 1,284 
91年 1月	 4 	0	 14 	 16 	 110 	 34 	0	0	 35 
91年 2月	 47 	0	 17 	 21 	 262 	 88 	 3 	0	 106 
91年 3月	 6 	0	 17 	 24 	 156 	 44 	 1 	0	 92 
91年 4月	 6 	 1 	 17 	 22 	 107 	 61 	0	0	 88 
91年 5月	 5 	0	 20 	 15 	 224 	 86 	 1 	0	 67 
91年 6月	 12 	0	 17 	 16 	 194 	 69 	 4 	0	 112 
91年 7月	 5 	0	 16 	 23 	 202 	 82 	 4 	0	 141 
91年 8月	 14 	0	 24 	 23 	 246 	 79 	 2 	0	 137 
91年 9月	 8 	0	 17 	 28 	 241 	 78 	 2 	0	 113 
91年 10月	 55 	0	 20 	 20 	 169 	 51 	 3 	0	 152 
91年 11月	 15 	0	 15 	 20 	 214 	 75 	 1 	0	 130 
91年 12月	 21 	0	 19 	 19 	 212 	 79 	 2 	0	 111 
92年	 219 	 5 	 213 	 225 	 2,252 	 745 	 29 	0	 1,682 
92年 1月	 42 	 2 	 15 	 13 	 197 	 69 	 3 	0	 123 
92年 2月	 28 	0	 16 	 20 	 145 	 56 	 3 	0	 117 
92年 3月	 21 	0	 22 	 18 	 226 	 103 	 2 	0	 153 
92年 4月	 8 	0	 18 	 28 	 260 	 52 	 1 	0	 180 
92年 5月	 13 	0	 20 	 18 	 246 	 61 	 2 	0	 144 
92年 6月	 13 	 1 	 21 	 24 	 215 	 60 	 2 	0	 146 
92年 7月	 7 	0	 16 	 15 	 185 	 59 	 1 	0	 153 
92年 8月	 14 	 1 	 17 	 20 	 179 	 57 	 1 	0	 165 
92年 9月	 20 	0	 15 	 9 	 157 	 81 	 2 	0	 131 
92年 10月	 26 	 1 	 19 	 24 	 147 	 42 	 2 	0	 135 
92年 11月	 21 	0	 25 	 21 	 172 	 59 	 8 	0	 126 
92年 12月	 6 	0	 9 	 15 	 123 	 46 	 2 	0	 109 
93年	 106 	 3 	 141 	 288 	 3,378 	 1,182 	 57 	0	 1,317 
93年 1月	 5 	0	 7 	 40 	 135 	 55 	 4 	0	 153 
93年 2月	 19 	0	 9 	 52 	 175 	 63 	 4 	0	 90 
93年 3月	 11 	0	 15 	 30 	 220 	 64 	 3 	0	 99 
93年 4月	 11 	 1 	 7 	 28 	 235 	 82 	 2 	0	 135 
93年 5月	 4 	0	 13 	 23 	 249 	 67 	 4 	0	 181 
93年 6月	 4 	0	 21 	 17 	 193 	 71 	 4 	0	 118 
93年 7月	 12 	 1 	 9 	 25 	 318 	 95 	 4 	0	 118 
93年 8月	 6 	0	 7 	 12 	 380 	 149 	 9 	0	 104 
93年 9月	 9 	 1 	 9 	 18 	 338 	 130 	 7 	0	 75 
93年 10月	 6 	0	 15 	 11 	 362 	 111 	 5 	0	 86 
93年 11月	 9 	0	 17 	 12 	 413 	 173 	 7 	0	 80 
93年 12月	 10 	0	 12 	 20 	 360 	 122 	 4 	0	 78 
94年	 122 	 5 	 212 	 277 	 5,610 	 2,094 	 37 	 2 	 592 
94年 1月	 5 	 1 	 14 	 13 	 422 	 157 	 3 	0	 56 
94年 2月	 9 	0	 11 	 18 	 369 	 145 	 4 	 1 	 89 
94年 3月	 4 	0	 10 	 22 	 457 	 193 	 5 	 1 	 84 
94年 4月	 9 	 1 	 15 	 24 	 420 	 192 	 5 	0	 73 
94年 5月	 11 	 1 	 20 	 17 	 437 	 188 	 7 	0	 148 
94年 6月	 7 	 1 	 15 	 20 	 410 	 173 	 1 	0	 101 
94年 7月	 8 	0	 12 	 14 	 504 	 183 	 2 	0	 8 
94年 8月	 8 	0	 23 	 24 	 517 	 208 	 5 	0	 10 
94年 9月	 13 	0	 28 	 17 	 565 	 166 	 3 	0	 1 
94年 10月	 13 	0	 20 	 25 	 531 	 183 	 1 	0	 6 
94年 11月	 22 	 1 	 18 	 32 	 486 	 181 	 1 	0	 12 
94年 12月	 13 	0	 26 	 51 	 492 	 125 	0	0	 4 
95年	 312 	 6 	 232 	 300 	 5,755 	 1,558 	 23 	 2 	 26 
95年 1月	 15 	0	 22 	 18 	 516 	 127 	 2 	0	0
95年 2月	 73 	0	 22 	 26 	 513 	 124 	0	0	 1 
95年 3月	 10 	 1 	 19 	 31 	 514 	 123 	 2 	 1 	 4 
95年 4月	 26 	 2 	 11 	 23 	 473 	 162 	 4 	0	 1 
95年 5月	 15 	0	 20 	 25 	 416 	 149 	 5 	0	 2 
95年 6月	 11 	0	 19 	 13 	 423 	 151 	 4 	0	 13 
95年 7月	 14 	0	 18 	 18 	 324 	 83 	0	0	0
95年 8月	 14 	 1 	 27 	 20 	 758 	 217 	 1 	 1 	0
95年 9月	 49 	0	 19 	 61 	 387 	 101 	 1 	0	 3 
95年 10月	 53 	0	 21 	 26 	 422 	 83 	 3 	0	0
95年 11月	 18 	 2 	 19 	 21 	 557 	 139 	0	0	0
95年 12月	 14 	0	 15 	 18 	 452 	 99 	 1 	0	 2 
96年	 226 	 5 	 213 	 232 	 6,034 	 1,938 	 41 	 4 	0
96年 1月	 24 	 1 	 25 	 26 	 441 	 98 	 2 	 1 	0
96年 2月	 43 	 1 	 7 	 10 	 650 	 166 	 3 	0	0
96年 3月	 15 	0	 22 	 17 	 646 	 194 	 2 	0	0
96年 4月	 18 	0	 18 	 17 	 440 	 116 	 3 	0	0
96年 5月	 17 	0	 14 	 12 	 515 	 165 	 4 	 1 	0
96年 6月	 19 	 1 	 12 	 21 	 350 	 139 	 5 	0	0
96年 7月	 8 	0	 11 	 17 	 549 	 163 	 3 	0	0
96年 8月	 15 	0	 19 	 25 	 625 	 240 	 4 	0	0
96年 9月	 18 	0	 13 	 22 	 472 	 177 	 6 	 1 	0
96年 10月	 14 	0	 18 	 25 	 463 	 160 	 1 	 1 	0
96年 11月	 10 	0	 25 	 22 	 474 	 172 	 6 	0	0
96年 12月	 25 	 2 	 29 	 18 	 409 	 148 	 2 	0	0
97年	 210 	 4 	 264 	 229 	 5,666 	 1,989 	 52 	 1 	 14 
97年 1月	 6 	0	 24 	 7 	 444 	 122 	 2 	0	 1 
97年 2月	 14 	 1 	 18 	 12 	 500 	 133 	 6 	0	 1 
97年 3月	 12 	 1 	 22 	 9 	 548 	 177 	 5 	0	 11 
97年 4月	 12 	0	 11 	 15 	 351 	 136 	 2 	 1 	 1 
97年 5月	 18 	 1 	 27 	 23 	 528 	 193 	 5 	0	0
97年 6月	 19 	0	 17 	 44 	 455 	 172 	 5 	0	0
97年 7月	 47 	0	 20 	 21 	 612 	 235 	 7 	0	0
97年 8月	 7 	0	 19 	 13 	 752 	 317 	 11 	0	0
97年 9月	 14 	0	 23 	 17 	 477 	 167 	 5 	0	0
97年 10月	 22 	0	 27 	 22 	 344 	 115 	 1 	0	0
97年 11月	 10 	0	 20 	 31 	 353 	 109 	0	0	0
97年 12月	 29 	 1 	 36 	 15 	 302 	 113 	 3 	0	0
98年	 268 	 1 	 244 	 199 	 4,020 	 2,318 	 87 	 3 	0
98年 1月	 30 	0	 15 	 16 	 202 	 95 	 1 	 1 	0
98年 2月	 16 	 1 	 21 	 11 	 318 	 154 	 3 	0	0
98年 3月	 17 	0	 16 	 14 	 426 	 172 	 10 	0	0
98年 4月	 34 	0	 20 	 14 	 409 	 166 	 8 	0	0
98年 5月	 20 	0	 26 	 24 	 281 	 156 	 3 	0	0
98年 6月	 36 	0	 28 	 21 	 288 	 154 	 7 	0	0
98年 7月	 13 	0	 18 	 21 	 476 	 238 	 12 	 1 	0
98年 8月	 26 	0	 22 	 17 	 477 	 265 	 8 	0	0
98年 9月	 23 	0	 18 	 12 	 285 	 196 	 9 	 1 	0
98年 10月	 17 	0	 22 	 19 	 288 	 216 	 8 	0	0
98年 11月	 24 	0	 12 	 21 	 290 	 242 	 7 	0	0
98年 12月	 12 	0	 26 	 9 	 280 	 264 	 11 	0	0
99年	 203 	 2 	 305 	 203 	 3,370 	 3,658 	 90 	 4 	0
99年 1月	 12 	0	 14 	 15 	 216 	 221 	 3 	0	0
99年 2月	 27 	0	 24 	 12 	 298 	 308 	 3 	 1 	0
99年 3月	 13 	0	 31 	 16 	 289 	 294 	 8 	0	0
99年 4月	 16 	0	 28 	 17 	 277 	 317 	 7 	0	0
99年 5月	 20 	0	 28 	 21 	 325 	 344 	 9 	0	0
99年 6月	 17 	0	 27 	 25 	 257 	 279 	 2 	0	0
99年 7月	 34 	0	 26 	 13 	 449 	 434 	 5 	 1 	0
99年 8月	 23 	 1 	 32 	 17 	 362 	 416 	 21 	 1 	0
99年 9月	 11 	0	 27 	 23 	 264 	 286 	 7 	 1 	0
