時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 182 	 59 	0	 251 	 613 	0	 85 	 38 	 3 
89年 1月	 15 	 3 	0	 16 	 42 	0	 11 	 1 	0
89年 2月	 16 	 3 	0	 34 	 61 	0	 4 	 3 	0
89年 3月	 17 	 3 	0	 23 	 18 	0	 16 	 2 	0
89年 4月	 10 	 3 	0	 17 	 50 	0	 5 	 2 	0
89年 5月	 18 	 8 	0	 29 	 63 	0	 5 	 3 	0
89年 6月	 15 	 1 	0	 21 	 48 	0	 4 	 9 	0
89年 7月	 7 	 6 	0	 14 	 60 	0	 1 	 2 	 1 
89年 8月	 17 	 9 	0	 19 	 38 	0	 4 	 1 	 1 
89年 9月	 20 	 8 	0	 19 	 52 	0	 7 	 3 	 1 
89年 10月	 18 	 1 	0	 13 	 69 	0	 6 	 7 	0
89年 11月	 15 	 7 	0	 24 	 45 	0	 8 	0	0
89年 12月	 14 	 7 	0	 22 	 67 	0	 14 	 5 	0
90年	 134 	 56 	0	 308 	 588 	0	 34 	 30 	 10 
90年 1月	 17 	 5 	0	 36 	 48 	0	 3 	0	 1 
90年 2月	 8 	 4 	0	 36 	 29 	0	 7 	 4 	 1 
90年 3月	 10 	 2 	0	 11 	 26 	0	 3 	 1 	0
90年 4月	 10 	 3 	0	 27 	 37 	0	 1 	 2 	0
90年 5月	 9 	 4 	0	 20 	 35 	0	 2 	 1 	 2 
90年 6月	 9 	 4 	0	 23 	 56 	0	 5 	 3 	0
90年 7月	 8 	 6 	0	 17 	 48 	0	 2 	 2 	0
90年 8月	 7 	 4 	0	 37 	 75 	0	 2 	 3 	 2 
90年 9月	 19 	 2 	0	 21 	 48 	0	 8 	 4 	0
90年 10月	 8 	 7 	0	 20 	 73 	0	0	 5 	0
90年 11月	 11 	 7 	0	 36 	 63 	0	 1 	 3 	 3 
90年 12月	 18 	 8 	0	 24 	 50 	0	0	 2 	 1 
91年	 121 	 39 	0	 388 	 859 	0	 30 	 16 	 12 
91年 1月	 12 	 1 	0	 35 	 91 	0	 2 	 1 	0
91年 2月	 10 	 2 	0	 70 	 168 	0	0	 1 	 4 
91年 3月	 8 	 1 	0	 29 	 15 	0	 2 	0	 1 
91年 4月	 10 	 6 	0	 24 	 10 	0	 2 	 3 	 2 
91年 5月	 10 	 5 	0	 25 	 42 	0	 2 	 2 	0
91年 6月	 11 	 2 	0	 16 	 66 	0	 2 	 1 	 1 
91年 7月	 6 	 2 	0	 31 	 56 	0	 2 	0	0
91年 8月	 7 	 5 	0	 28 	 96 	0	 3 	 1 	0
91年 9月	 11 	 3 	0	 23 	 54 	0	 1 	 1 	0
91年 10月	 18 	 4 	0	 28 	 118 	0	 2 	 1 	 2 
91年 11月	 12 	 6 	0	 17 	 94 	0	 2 	 5 	0
91年 12月	 6 	 2 	0	 62 	 49 	0	 10 	0	 2 
92年	 137 	 46 	0	 306 	 686 	0	 28 	 40 	 13 
92年 1月	 7 	 5 	0	 52 	 106 	0	 2 	0	 3 
92年 2月	 12 	 3 	0	 19 	 36 	0	 1 	 2 	0
92年 3月	 12 	 4 	0	 15 	 69 	0	 10 	 4 	 2 
92年 4月	 10 	 3 	0	 39 	 70 	0	 1 	 3 	 3 
92年 5月	 14 	 3 	0	 22 	 66 	0	 2 	 6 	 2 
92年 6月	 11 	 10 	0	 28 	 96 	0	 2 	 6 	 1 
92年 7月	 7 	 7 	0	 18 	 27 	0	 1 	 3 	 1 
92年 8月	 10 	 2 	0	 25 	 40 	0	 5 	0	 1 
92年 9月	 17 	 2 	0	 22 	 47 	0	0	 6 	0
92年 10月	 10 	 5 	0	 26 	 38 	0	 1 	 4 	0
92年 11月	 15 	 2 	0	 24 	 45 	0	 3 	 3 	0
92年 12月	 12 	0	0	 16 	 46 	0	0	 3 	0
93年	 143 	 44 	0	 350 	 536 	0	 38 	 28 	 6 
93年 1月	 10 	 4 	0	 19 	 39 	0	0	 1 	0
93年 2月	 17 	 2 	0	 28 	 64 	0	 2 	 1 	0
93年 3月	 11 	0	0	 43 	 42 	0	 3 	 5 	0
93年 4月	 20 	0	0	 29 	 31 	0	 15 	 1 	 1 
93年 5月	 10 	 3 	0	 13 	 31 	0	 1 	 3 	0
93年 6月	 7 	 9 	0	 24 	 31 	0	 1 	 2 	 1 
93年 7月	 9 	 4 	0	 39 	 14 	0	 6 	 2 	0
93年 8月	 13 	 3 	0	 22 	 40 	0	 2 	 1 	0
93年 9月	 7 	 7 	0	 41 	 69 	0	 1 	 1 	 1 
93年 10月	 11 	 2 	0	 27 	 69 	0	0	 1 	 1 
93年 11月	 17 	 4 	0	 29 	 62 	0	 2 	 1 	 1 
93年 12月	 11 	 6 	0	 36 	 44 	0	 5 	 9 	 1 
94年	 189 	 61 	 87 	 318 	 766 	0	 44 	 28 	 6 
94年 1月	 8 	 4 	 6 	 20 	 22 	0	0	0	0
94年 2月	 8 	 2 	 9 	 19 	 41 	0	 3 	 6 	0
94年 3月	 5 	 5 	 10 	 14 	 32 	0	0	 2 	 2 
94年 4月	 14 	 6 	 5 	 16 	 52 	0	 8 	 3 	0
94年 5月	 26 	 4 	 7 	 37 	 146 	0	 2 	 5 	0
94年 6月	 16 	 3 	 8 	 17 	 74 	0	 3 	 2 	0
94年 7月	 14 	 3 	 6 	 17 	 45 	0	 5 	 1 	0
94年 8月	 16 	 7 	 8 	 38 	 33 	0	 8 	 3 	0
94年 9月	 19 	 9 	 9 	 44 	 87 	0	 3 	 1 	 2 
94年 10月	 23 	 9 	 7 	 26 	 79 	0	 4 	 2 	 1 
94年 11月	 21 	 4 	 8 	 35 	 78 	0	0	 2 	0
94年 12月	 19 	 5 	 4 	 35 	 77 	0	 8 	 1 	 1 
95年	 230 	 58 	 49 	 380 	 484 	0	 152 	 46 	 7 
95年 1月	 15 	 7 	 4 	 27 	 46 	0	 5 	 4 	 2 
95年 2月	 17 	 4 	 2 	 37 	 49 	0	 2 	 3 	0
95年 3月	 25 	 2 	 5 	 79 	 61 	0	 19 	0	0
95年 4月	 28 	 7 	 8 	 61 	 63 	0	 7 	 7 	0
95年 5月	 26 	 6 	 4 	 30 	 29 	0	 40 	 3 	 3 
95年 6月	 22 	 1 	 3 	 14 	 58 	0	 18 	 2 	 2 
95年 7月	 20 	 3 	 10 	 18 	 20 	0	 12 	 3 	0
95年 8月	 13 	 4 	 4 	 16 	 18 	0	 9 	 17 	0
95年 9月	 13 	 9 	 5 	 15 	 25 	0	 14 	 2 	0
95年 10月	 19 	 5 	 2 	 18 	 47 	0	 7 	 3 	0
95年 11月	 19 	 7 	 1 	 26 	 31 	0	 12 	 1 	0
95年 12月	 13 	 3 	 1 	 39 	 37 	0	 7 	 1 	0
96年	 267 	 74 	 51 	 236 	 405 	0	 221 	 44 	 4 
96年 1月	 29 	 6 	 2 	 15 	 19 	0	 9 	 8 	 1 
96年 2月	 12 	 6 	 6 	 29 	 60 	0	 9 	 1 	0
96年 3月	 17 	 11 	 5 	 40 	 45 	0	 13 	 7 	0
96年 4月	 18 	 9 	 6 	 16 	 19 	0	 15 	0	 1 
96年 5月	 15 	 3 	 2 	 11 	 27 	0	 32 	 6 	 1 
96年 6月	 16 	 4 	 7 	 18 	 37 	0	 66 	 1 	0
96年 7月	 46 	 7 	 4 	 18 	 46 	0	 12 	 7 	 1 
96年 8月	 22 	 9 	 3 	 13 	 23 	0	 11 	 2 	0
96年 9月	 18 	 4 	 4 	 14 	 26 	0	 7 	 3 	0
