時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
89年	 17 	 169 	 1 	 2 	 9 	0	 1 	 23 	0
89年 1月	 3 	 28 	0	0	0	0	0	 7 	0
89年 2月	0	 41 	0	0	0	0	0	 2 	0
89年 3月	 2 	 14 	 1 	0	0	0	0	0	0
89年 4月	0	 6 	0	 1 	0	0	0	0	0
89年 5月	 1 	 14 	0	0	0	0	0	 2 	0
89年 6月	0	 6 	0	0	0	0	0	 1 	0
89年 7月	 2 	 7 	0	0	 3 	0	0	 4 	0
89年 8月	 1 	 9 	0	0	 2 	0	0	 2 	0
89年 9月	 2 	 9 	0	 1 	 1 	0	0	 2 	0
89年 10月	 4 	 15 	0	0	 2 	0	0	 2 	0
89年 11月	0	 13 	0	0	 1 	0	 1 	0	0
89年 12月	 2 	 7 	0	0	0	0	0	 1 	0
90年	 32 	 99 	 13 	 2 	 7 	0	 2 	 12 	0
90年 1月	 2 	 9 	0	0	0	0	0	 5 	0
90年 2月	 3 	 13 	0	0	0	0	0	 2 	0
90年 3月	 3 	 3 	0	0	0	0	0	 1 	0
90年 4月	0	 9 	0	0	0	0	0	 1 	0
90年 5月	 2 	 7 	0	0	0	0	 1 	 1 	0
90年 6月	 2 	 3 	0	0	 1 	0	0	 1 	0
90年 7月	 2 	 10 	0	0	 1 	0	0	0	0
90年 8月	 3 	 9 	0	 2 	 2 	0	0	0	0
90年 9月	 4 	 10 	0	0	 2 	0	 1 	0	0
90年 10月	 4 	 2 	0	0	0	0	0	0	0
90年 11月	 5 	 16 	 4 	0	 1 	0	0	0	0
90年 12月	 2 	 8 	 9 	0	0	0	0	 1 	0
91年	 40 	 35 	 116 	 1 	 7 	 3 	 2 	 7 	0
91年 1月	 1 	 7 	 12 	0	0	0	0	 1 	0
91年 2月	 2 	 5 	 3 	0	0	0	0	 2 	0
91年 3月	 5 	 7 	0	0	0	0	0	0	0
91年 4月	 1 	 6 	0	0	0	 1 	0	0	0
91年 5月	 2 	 2 	 10 	0	 1 	0	0	0	0
91年 6月	 3 	 1 	 60 	 1 	0	0	0	 1 	0
91年 7月	 4 	0	 15 	0	 1 	0	0	 1 	0
91年 8月	 1 	 4 	 2 	0	 1 	 2 	 2 	 1 	0
91年 9月	 3 	 1 	0	0	 3 	0	0	0	0
91年 10月	 7 	0	0	0	0	0	0	0	0
91年 11月	 9 	 2 	 1 	0	0	0	0	 1 	0
91年 12月	 2 	0	 13 	0	 1 	0	0	0	0
92年	 30 	 12 	 8 	 2 	 9 	0	 1 	 2 	0
92年 1月	 2 	0	 4 	0	 2 	0	0	0	0
92年 2月	 2 	 3 	 2 	 1 	0	0	0	 1 	0
92年 3月	 2 	 1 	 2 	0	 1 	0	0	 1 	0
92年 4月	 3 	 1 	0	0	 1 	0	0	0	0
92年 5月	 4 	0	0	0	 2 	0	0	0	0
92年 6月	 2 	 1 	0	0	0	0	 1 	0	0
92年 7月	 3 	0	0	0	0	0	0	0	0
92年 8月	 3 	 1 	0	0	0	0	0	0	0
92年 9月	 1 	 2 	0	0	 1 	0	0	0	0
92年 10月	 1 	 1 	0	0	0	0	0	0	0
92年 11月	 3 	 1 	0	0	 2 	0	0	0	0
92年 12月	 4 	 1 	0	 1 	0	0	0	0	0
93年	 40 	 6 	 14 	 2 	 10 	 1 	0	 3 	0
93年 1月	 2 	 1 	0	0	 2 	0	0	 1 	0
93年 2月	 3 	 1 	0	0	0	0	0	0	0
93年 3月	 3 	0	 1 	0	0	0	0	 1 	0
93年 4月	 4 	0	0	0	0	0	0	 1 	0
93年 5月	 4 	 1 	0	0	 3 	0	0	0	0
93年 6月	 6 	0	0	 1 	 1 	0	0	0	0
93年 7月	 4 	0	0	0	0	0	0	0	0
93年 8月	 5 	0	 1 	 1 	 2 	0	0	0	0
93年 9月	 2 	0	0	0	0	0	0	0	0
93年 10月	 5 	 3 	0	0	 2 	 1 	0	0	0
93年 11月	 1 	0	 1 	0	0	0	0	0	0
93年 12月	 1 	0	 11 	0	0	0	0	0	0
94年	 51 	 7 	 39 	 3 	 8 	0	0	 2 	0
94年 1月	 7 	0	0	0	0	0	0	0	0
94年 2月	 2 	0	0	 1 	0	0	0	0	0
94年 3月	 4 	 1 	0	0	 1 	0	0	 1 	0
94年 4月	 6 	0	0	0	0	0	0	0	0
94年 5月	 3 	 1 	0	0	 2 	0	0	0	0
94年 6月	 4 	0	0	0	 1 	0	0	0	0
94年 7月	 3 	0	0	 1 	 1 	0	0	0	0
94年 8月	 4 	0	0	0	0	0	0	 1 	0
94年 9月	 3 	 1 	 1 	0	0	0	0	0	0
94年 10月	 8 	 1 	0	0	 1 	0	0	0	0
94年 11月	 3 	 1 	 2 	0	 1 	0	0	0	0
94年 12月	 4 	 2 	 36 	 1 	 1 	0	0	0	0
95年	 77 	 6 	 64 	 2 	 13 	0	0	 1 	0
95年 1月	 2 	 1 	0	0	0	0	0	0	0
95年 2月	 5 	0	0	 1 	 1 	0	0	0	0
95年 3月	 11 	 2 	0	0	0	0	0	0	0
95年 4月	 6 	0	0	0	 1 	0	0	0	0
95年 5月	 5 	 1 	 1 	 1 	 1 	0	0	0	0
95年 6月	 5 	 1 	 16 	0	 4 	0	0	0	0
95年 7月	 12 	0	 6 	0	 2 	0	0	0	0
95年 8月	 6 	 1 	 2 	0	0	0	0	0	0
95年 9月	 7 	0	0	0	0	0	0	0	0
95年 10月	 11 	0	 1 	0	0	0	0	0	0
95年 11月	 5 	0	 1 	0	 2 	0	0	 1 	0
95年 12月	 2 	0	 37 	0	 2 	0	0	0	0
96年	 104 	 10 	 13 	 4 	 11 	 2 	 2 	 6 	0
96年 1月	 9 	0	 1 	0	 1 	0	0	0	0
96年 2月	 5 	0	 1 	0	0	0	0	 2 	0
96年 3月	 9 	0	 1 	 2 	 2 	0	0	 1 	0
96年 4月	 7 	0	0	0	 2 	0	 1 	0	0
96年 5月	 10 	0	0	0	0	 1 	0	 1 	0
96年 6月	 8 	 4 	0	0	0	0	0	0	0
96年 7月	 12 	0	0	0	0	0	0	 1 	0
96年 8月	 10 	0	0	0	 1 	0	0	0	0
96年 9月	 11 	 2 	 1 	 1 	0	0	0	 1 	0
96年 10月	 8 	 2 	 2 	0	 1 	0	0	0	0
96年 11月	 9 	 2 	 2 	0	 2 	 1 	 1 	0	0
96年 12月	 6 	0	 5 	 1 	 2 	0	0	0	0
97年	 134 	 1 	 46 	 11 	 16 	 5 	 1 	 2 	0
97年 1月	 5 	0	 41 	 1 	 2 	 1 	0	0	0
97年 2月	 4 	0	 1 	0	 2 	0	0	 1 	0
97年 3月	 9 	0	 3 	0	0	0	0	0	0
97年 4月	 10 	0	 1 	 1 	 3 	0	0	0	0
97年 5月	 4 	0	0	0	 1 	0	0	0	0
97年 6月	 13 	0	0	 3 	 2 	 1 	 1 	0	0
97年 7月	 13 	0	0	 1 	 3 	0	0	0	0
97年 8月	 14 	0	0	0	 1 	 1 	0	0	0
97年 9月	 16 	0	0	 2 	0	0	0	0	0
97年 10月	 13 	 1 	0	 3 	 1 	 1 	0	0	0
97年 11月	 14 	0	0	0	 1 	0	0	 1 	0
97年 12月	 19 	0	0	0	0	 1 	0	0	0
98年	 173 	 1 	0	 39 	 6 	 1 	0	 3 	0
98年 1月	 11 	0	0	 1 	0	0	0	0	0
98年 2月	 10 	0	0	0	0	0	0	0	0
98年 3月	 7 	0	0	 21 	 1 	0	0	0	0
98年 4月	 16 	 1 	0	 3 	0	0	0	0	0
98年 5月	 9 	0	0	 6 	 2 	0	0	0	0
98年 6月	 13 	0	0	 1 	0	0	0	0	0
98年 7月	 20 	0	0	 2 	 2 	0	0	 1 	0
98年 8月	 10 	0	0	0	0	0	0	0	0
98年 9月	 16 	0	0	0	0	0	0	 2 	0
98年 10月	 19 	0	0	 2 	0	 1 	0	0	0
98年 11月	 17 	0	0	 1 	0	0	0	0	0
98年 12月	 25 	0	0	 2 	 1 	0	0	0	0
99年	 260 	 2 	 215 	 25 	 12 	 1 	0	 1 	0
99年 1月	 14 	 1 	0	 1 	0	0	0	0	0
99年 2月	 11 	0	0	0	 1 	0	0	0	0
99年 3月	 22 	0	0	 1 	 1 	0	0	0	0
99年 4月	 23 	0	0	 2 	 1 	0	0	0	0
99年 5月	 19 	0	0	 6 	 2 	0	0	0	0
99年 6月	 24 	0	0	 2 	 1 	0	0	0	0
99年 7月	 24 	0	0	 2 	 2 	0	0	0	0
