時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 156 	 4 	 60 	 98 	 752 	 1,214 	 1 	0	 17 
89年 1月	0	0	 1 	 9 	 62 	 127 	0	0	 3 
89年 2月	 38 	 1 	 8 	 6 	 107 	 177 	0	0	 2 
89年 3月	 1 	0	 7 	 9 	 54 	 100 	0	0	 1 
89年 4月	 1 	0	 2 	 1 	 25 	 63 	0	0	0
89年 5月	 2 	 1 	 11 	 12 	 60 	 113 	0	0	 2 
89年 6月	 39 	0	 7 	 2 	 60 	 70 	0	0	 1 
89年 7月	 3 	 1 	 4 	 12 	 77 	 97 	0	0	 2 
89年 8月	 1 	0	 5 	 9 	 54 	 114 	0	0	 1 
89年 9月	 3 	0	 5 	 12 	 53 	 104 	0	0	0
89年 10月	 33 	0	 3 	 13 	 58 	 93 	 1 	0	 1 
89年 11月	 3 	0	 5 	 4 	 84 	 102 	0	0	 4 
89年 12月	 32 	 1 	 2 	 9 	 58 	 54 	0	0	0
90年	 251 	 1 	 72 	 131 	 566 	 443 	0	0	 377 
90年 1月	 2 	0	 5 	 14 	 60 	 68 	0	0	 4 
90年 2月	 51 	 1 	 2 	 8 	 40 	 56 	0	0	0
90年 3月	 9 	0	 3 	 9 	 42 	 64 	0	0	 1 
90年 4月	 3 	0	 4 	 5 	 54 	 56 	0	0	0
90年 5月	 68 	0	 4 	 12 	 47 	 60 	0	0	 4 
90年 6月	 3 	0	 4 	 9 	 72 	 47 	0	0	 11 
90年 7月	 3 	0	 4 	 8 	 34 	 18 	0	0	 68 
90年 8月	 1 	0	 5 	 13 	 36 	 12 	0	0	 65 
90年 9月	 12 	0	 11 	 12 	 42 	 25 	0	0	 79 
90年 10月	 3 	0	 9 	 9 	 35 	 11 	0	0	 47 
90年 11月	 45 	0	 7 	 8 	 54 	 12 	0	0	 47 
90年 12月	 51 	0	 14 	 24 	 50 	 14 	0	0	 51 
91年	 123 	0	 76 	 94 	 862 	 253 	 9 	0	 730 
91年 1月	 2 	0	 9 	 7 	 39 	 13 	0	0	 18 
91年 2月	 45 	0	 4 	 7 	 63 	 20 	 2 	0	 48 
91年 3月	 5 	0	 9 	 11 	 45 	 18 	 1 	0	 67 
91年 4月	 1 	0	 10 	 13 	 51 	 26 	0	0	 52 
91年 5月	 2 	0	 4 	 4 	 64 	 22 	0	0	 44 
91年 6月	 5 	0	 6 	 2 	 75 	 15 	 1 	0	 66 
91年 7月	 3 	0	 8 	 7 	 90 	 18 	 1 	0	 82 
91年 8月	 2 	0	 7 	 6 	 78 	 24 	0	0	 77 
91年 9月	 5 	0	 5 	 11 	 88 	 27 	0	0	 55 
91年 10月	 41 	0	 5 	 11 	 85 	 17 	 1 	0	 92 
91年 11月	 7 	0	 3 	 8 	 83 	 24 	 1 	0	 72 
91年 12月	 5 	0	 6 	 7 	 101 	 29 	 2 	0	 57 
92年	 104 	 3 	 76 	 88 	 1,058 	 210 	 15 	0	 706 
92年 1月	 32 	0	 7 	 4 	 85 	 21 	 2 	0	 49 
92年 2月	 3 	0	 3 	 4 	 72 	 15 	 2 	0	 83 
92年 3月	 10 	0	 7 	 5 	 84 	 14 	 2 	0	 43 
92年 4月	 1 	0	 7 	 8 	 126 	 10 	0	0	 62 
92年 5月	 7 	0	 5 	 9 	 122 	 26 	 1 	0	 76 
92年 6月	 9 	 1 	 8 	 16 	 85 	 17 	 1 	0	 60 
92年 7月	 2 	0	 8 	 4 	 96 	 11 	0	0	 53 
92年 8月	 9 	 1 	 9 	 6 	 98 	 19 	0	0	 86 
92年 9月	 14 	0	 3 	 5 	 73 	 21 	 1 	0	 58 
92年 10月	 2 	 1 	 6 	 13 	 72 	 20 	 1 	0	 63 
92年 11月	 13 	0	 7 	 10 	 76 	 18 	 3 	0	 33 
92年 12月	 2 	0	 6 	 4 	 69 	 18 	 2 	0	 40 
93年	 60 	 2 	 48 	 127 	 1,675 	 454 	 8 	0	 472 
93年 1月	 3 	0	 4 	 16 	 48 	 20 	 1 	0	 61 
93年 2月	 17 	0	 3 	 30 	 63 	 26 	 1 	0	 39 
93年 3月	 4 	0	 5 	 10 	 84 	 21 	0	0	 43 
93年 4月	 4 	0	 2 	 14 	 105 	 38 	 1 	0	 81 
93年 5月	 1 	0	 4 	 13 	 104 	 24 	 2 	0	 102 
93年 6月	 1 	0	 6 	 4 	 81 	 19 	0	0	 57 
93年 7月	 7 	 1 	 3 	 7 	 182 	 39 	 1 	0	 49 
93年 8月	 4 	0	 4 	 3 	 212 	 58 	 1 	0	 12 
93年 9月	 5 	 1 	 1 	 9 	 214 	 58 	0	0	 9 
