時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 116 	 24 	0	 102 	 72 	0	 17 	 22 	 2 
89年 1月	 10 	0	0	 6 	 4 	0	 7 	 1 	0
89年 2月	 11 	 3 	0	 19 	 12 	0	 2 	 3 	0
89年 3月	 10 	 2 	0	 8 	 8 	0	0	 2 	0
89年 4月	 7 	 1 	0	 5 	 8 	0	 2 	0	0
89年 5月	 15 	 2 	0	 17 	 3 	0	 1 	 3 	0
89年 6月	 8 	 1 	0	 8 	 4 	0	 1 	 1 	0
89年 7月	 4 	 5 	0	 4 	 6 	0	0	 2 	0
89年 8月	 11 	 2 	0	 4 	 3 	0	0	 1 	 1 
89年 9月	 14 	0	0	 6 	 2 	0	0	 2 	 1 
89年 10月	 8 	 1 	0	 4 	 5 	0	 1 	 3 	0
89年 11月	 10 	 4 	0	 12 	 8 	0	 2 	0	0
89年 12月	 8 	 3 	0	 9 	 9 	0	 1 	 4 	0
90年	 69 	 36 	0	 137 	 172 	0	 9 	 27 	 6 
90年 1月	 5 	 1 	0	 20 	 14 	0	 1 	0	 1 
90年 2月	 3 	 3 	0	 18 	 13 	0	 1 	 4 	0
90年 3月	 3 	 2 	0	 6 	 5 	0	 2 	 1 	0
90年 4月	 5 	 1 	0	 9 	 12 	0	0	 2 	0
90年 5月	 5 	 2 	0	 10 	 12 	0	0	 1 	 1 
90年 6月	 4 	 4 	0	 7 	 5 	0	0	 3 	0
90年 7月	 5 	 2 	0	 14 	 17 	0	0	 2 	0
90年 8月	 6 	 3 	0	 8 	 18 	0	 2 	 2 	 1 
90年 9月	 9 	 1 	0	 11 	 9 	0	 2 	 4 	0
90年 10月	 4 	 7 	0	 8 	 22 	0	0	 4 	0
90年 11月	 7 	 5 	0	 22 	 23 	0	 1 	 2 	 2 
90年 12月	 13 	 5 	0	 4 	 22 	0	0	 2 	 1 
91年	 68 	 19 	0	 190 	 200 	0	 13 	 13 	 5 
91年 1月	 7 	 1 	0	 3 	 4 	0	 1 	 1 	0
91年 2月	 7 	0	0	 37 	 43 	0	0	 1 	 2 
91年 3月	 7 	0	0	 13 	 9 	0	0	0	0
91年 4月	 8 	 5 	0	 10 	 4 	0	 1 	 2 	 1 
91年 5月	 6 	 1 	0	 17 	 13 	0	0	 2 	0
91年 6月	 5 	0	0	 11 	 12 	0	 1 	0	0
91年 7月	 3 	 1 	0	 16 	 30 	0	0	0	0
91年 8月	 2 	 3 	0	 5 	 6 	0	 1 	 1 	0
91年 9月	 4 	 2 	0	 12 	 20 	0	0	 1 	0
91年 10月	 12 	 3 	0	 14 	 17 	0	0	0	 1 
91年 11月	 4 	 1 	0	 6 	 13 	0	 1 	 5 	0
91年 12月	 3 	 2 	0	 46 	 29 	0	 8 	0	 1 
92年	 78 	 22 	0	 140 	 162 	0	 4 	 35 	 5 
92年 1月	 5 	0	0	 31 	 19 	0	 1 	0	0
92年 2月	 6 	 1 	0	 9 	 4 	0	0	 2 	0
92年 3月	 7 	 2 	0	 2 	 23 	0	0	 4 	0
92年 4月	 6 	 2 	0	 11 	 13 	0	0	 1 	 1 
92年 5月	 8 	 2 	0	 10 	 10 	0	 1 	 5 	 1 
92年 6月	 6 	 7 	0	 16 	 37 	0	0	 6 	 1 
92年 7月	 4 	 4 	0	 12 	 7 	0	0	 2 	 1 
92年 8月	 4 	 1 	0	 13 	 12 	0	 1 	0	 1 
92年 9月	 11 	 1 	0	 9 	 13 	0	0	 6 	0
92年 10月	 7 	 2 	0	 14 	 10 	0	 1 	 4 	0
92年 11月	 8 	0	0	 9 	 10 	0	0	 3 	0
92年 12月	 6 	0	0	 4 	 4 	0	0	 2 	0
93年	 71 	 19 	0	 161 	 126 	0	 20 	 20 	 4 
93年 1月	 8 	 4 	0	 11 	 11 	0	0	0	0
93年 2月	 9 	 2 	0	 13 	 11 	0	 1 	 1 	0
93年 3月	 8 	0	0	 29 	 9 	0	0	 5 	0
93年 4月	 1 	0	0	 12 	 6 	0	 15 	0	0
93年 5月	 6 	 2 	0	 6 	 4 	0	 1 	 2 	0
93年 6月	 1 	 2 	0	 7 	 10 	0	0	 1 	 1 
93年 7月	 7 	 1 	0	 27 	 5 	0	 2 	0	0
93年 8月	 4 	0	0	 10 	 15 	0	0	0	0
93年 9月	 4 	 5 	0	 14 	 28 	0	 1 	 1 	 1 
93年 10月	 7 	 1 	0	 8 	 7 	0	0	 1 	 1 
93年 11月	 10 	 2 	0	 14 	 10 	0	0	 1 	 1 
93年 12月	 6 	0	0	 10 	 10 	0	0	 8 	0
94年	 108 	 23 	 35 	 134 	 93 	0	 14 	 23 	 4 
94年 1月	 3 	 1 	 2 	 10 	 7 	0	0	0	0
94年 2月	 3 	0	 5 	 12 	 10 	0	0	 6 	0
94年 3月	 4 	0	 4 	 7 	 3 	0	0	 2 	 1 
94年 4月	 12 	 3 	 2 	 7 	 3 	0	 3 	 3 	0
94年 5月	 15 	 2 	 1 	 12 	 25 	0	0	 5 	0
94年 6月	 11 	 2 	 3 	 9 	 8 	0	 2 	 1 	0
94年 7月	 5 	 2 	 2 	 6 	 5 	0	 2 	 1 	0
94年 8月	 8 	 4 	 5 	 20 	 5 	0	 4 	 2 	0
94年 9月	 9 	 3 	 5 	 13 	 5 	0	0	0	 1 
94年 10月	 12 	 5 	 2 	 13 	 2 	0	 1 	 2 	 1 
94年 11月	 16 	0	 2 	 16 	 13 	0	0	0	0
94年 12月	 10 	 1 	 2 	 9 	 7 	0	 2 	 1 	 1 
95年	 98 	 19 	 31 	 157 	 138 	0	 32 	 22 	 5 
95年 1月	 11 	 3 	 4 	 15 	 14 	0	 2 	 2 	 1 
