時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 15 	 4 	0	 2 	 166 	 5 	 17 	 811 	0
89年 1月	0	 1 	0	0	 6 	 3 	0	 63 	0
89年 2月	0	0	0	 2 	 5 	0	0	 55 	0
89年 3月	 6 	0	0	0	 8 	 1 	 2 	 59 	0
89年 4月	 1 	0	0	0	 6 	0	 1 	 51 	0
89年 5月	0	 1 	0	0	 14 	0	 3 	 72 	0
89年 6月	0	 1 	0	0	 25 	0	 8 	 62 	0
89年 7月	 1 	 1 	0	0	 18 	0	0	 64 	0
89年 8月	 2 	0	0	0	 8 	0	 1 	 72 	0
89年 9月	 2 	0	0	0	 31 	0	0	 78 	0
89年 10月	 2 	0	0	0	 21 	0	 1 	 79 	0
89年 11月	 1 	0	0	0	 14 	 1 	0	 81 	0
89年 12月	0	0	0	0	 10 	0	 1 	 75 	0
90年	 35 	 4 	0	0	 106 	 12 	 18 	 1,078 	 1 
90年 1月	0	0	0	0	 8 	0	0	 93 	0
90年 2月	0	0	0	0	 11 	 2 	0	 92 	0
90年 3月	0	0	0	0	 11 	 3 	0	 83 	0
90年 4月	0	0	0	0	 8 	0	 2 	 88 	0
90年 5月	0	0	0	0	 7 	 1 	0	 75 	0
90年 6月	0	0	0	0	 4 	0	 1 	 69 	0
90年 7月	 1 	0	0	0	 7 	 1 	0	 94 	0
90年 8月	0	0	0	0	 12 	0	 2 	 75 	0
90年 9月	0	 1 	0	0	 11 	 1 	 6 	 97 	 1 
90年 10月	0	 2 	0	0	 7 	 3 	 4 	 81 	0
90年 11月	 34 	0	0	0	 10 	 1 	 2 	 108 	0
90年 12月	0	 1 	0	0	 10 	0	 1 	 123 	0
91年	0	 2 	0	0	 144 	 5 	 17 	 1,752 	 1 
91年 1月	0	0	0	0	 12 	0	 1 	 144 	0
91年 2月	0	 1 	0	0	 13 	0	 3 	 182 	 1 
91年 3月	0	0	0	0	 13 	0	 1 	 150 	0
91年 4月	0	0	0	0	 7 	 1 	 3 	 137 	0
91年 5月	0	0	0	0	 10 	0	0	 121 	0
91年 6月	0	0	0	0	 9 	0	 2 	 127 	0
91年 7月	0	 1 	0	0	 13 	 2 	0	 152 	0
91年 8月	0	0	0	0	 13 	 1 	 1 	 157 	0
91年 9月	0	0	0	0	 23 	0	 1 	 157 	0
91年 10月	0	0	0	0	 12 	 1 	 2 	 144 	0
91年 11月	0	0	0	0	 8 	0	0	 159 	0
91年 12月	0	0	0	0	 11 	0	 3 	 122 	0
92年	 2 	0	0	 1 	 118 	0	 51 	 1,675 	0
92年 1月	0	0	0	0	 22 	0	 2 	 188 	0
92年 2月	0	0	0	0	 17 	0	 3 	 181 	0
92年 3月	0	0	0	0	 11 	0	 1 	 122 	0
92年 4月	0	0	0	0	 7 	0	 2 	 133 	0
92年 5月	 1 	0	0	0	 8 	0	 2 	 140 	0
92年 6月	0	0	0	0	 4 	0	 4 	 112 	0
92年 7月	0	0	0	0	 5 	0	 7 	 129 	0
92年 8月	0	0	0	0	 6 	0	 5 	 125 	0
92年 9月	0	0	0	0	 9 	0	 4 	 140 	0
92年 10月	 1 	0	0	0	 3 	0	 10 	 131 	0
92年 11月	0	0	0	0	 6 	0	 6 	 131 	0
92年 12月	0	0	0	 1 	 20 	0	 5 	 143 	0
93年	 3 	 1 	0	 3 	 102 	0	 44 	 2,339 	 1 
93年 1月	0	0	0	0	 9 	0	 3 	 145 	0
93年 2月	0	0	0	0	 6 	0	 2 	 180 	0
93年 3月	0	0	0	0	 9 	0	0	 185 	 1 
93年 4月	0	0	0	 1 	 4 	0	 3 	 198 	0
93年 5月	0	0	0	0	 12 	0	 4 	 222 	0
93年 6月	0	0	0	0	 6 	0	 7 	 221 	0
93年 7月	 2 	 1 	0	0	 12 	0	 3 	 204 	0
93年 8月	 1 	0	0	0	 12 	0	 4 	 213 	0
93年 9月	0	0	0	 1 	 8 	0	 3 	 205 	0
93年 10月	0	0	0	0	 14 	0	 8 	 181 	0
93年 11月	0	0	0	 1 	 3 	0	 2 	 192 	0
93年 12月	0	0	0	0	 7 	0	 5 	 193 	0
94年	 2 	 1 	0	0	 69 	0	 32 	 1,975 	0
94年 1月	0	0	0	0	 3 	0	0	 192 	0
94年 2月	0	0	0	0	 6 	0	 5 	 150 	0
94年 3月	0	0	0	0	 7 	0	0	 172 	0
94年 4月	0	0	0	0	 6 	0	 6 	 152 	0
94年 5月	 2 	0	0	0	 15 	0	 7 	 164 	0
94年 6月	0	0	0	0	 4 	0	 2 	 178 	0
94年 7月	0	0	0	0	0	0	0	 152 	0
94年 8月	0	0	0	0	 11 	0	 4 	 157 	0
94年 9月	0	0	0	0	 2 	0	 1 	 110 	0
94年 10月	0	0	0	0	 5 	0	 2 	 190 	0
94年 11月	0	 1 	0	0	 10 	0	 3 	 177 	0
94年 12月	0	0	0	0	0	0	 2 	 181 	0
95年	0	0	0	0	 66 	0	 31 	 2,448 	0
95年 1月	0	0	0	0	 8 	0	 3 	 177 	0
95年 2月	0	0	0	0	0	0	 1 	 193 	0
95年 3月	0	0	0	0	 5 	0	 1 	 188 	0
95年 4月	0	0	0	0	 6 	0	 1 	 179 	0
95年 5月	0	0	0	0	 2 	0	 3 	 215 	0
95年 6月	0	0	0	0	 4 	0	 6 	 172 	0
95年 7月	0	0	0	0	 7 	0	0	 191 	0
95年 8月	0	0	0	0	 9 	0	 4 	 207 	0
95年 9月	0	0	0	0	 2 	0	 3 	 217 	0
95年 10月	0	0	0	0	 2 	0	0	 218 	0
95年 11月	0	0	0	0	 2 	0	 2 	 205 	0
95年 12月	0	0	0	0	 19 	0	 7 	 286 	0
96年	0	0	0	 2 	 92 	0	 31 	 3,927 	0
96年 1月	0	0	0	0	 3 	0	 3 	 386 	0
96年 2月	0	0	0	0	 1 	0	 2 	 345 	0
96年 3月	0	0	0	0	 3 	0	 3 	 477 	0
96年 4月	0	0	0	0	 18 	0	 6 	 368 	0
96年 5月	0	0	0	0	 3 	0	0	 359 	0
96年 6月	0	0	0	0	 16 	0	 1 	 347 	0
96年 7月	0	0	0	 1 	 5 	0	 1 	 352 	0
96年 8月	0	0	0	0	 16 	0	 3 	 308 	0
96年 9月	0	0	0	0	 3 	0	 2 	 209 	0
96年 10月	0	0	0	 1 	 15 	0	 2 	 253 	0
96年 11月	0	0	0	0	 2 	0	 6 	 275 	0
96年 12月	0	0	0	0	 7 	0	 2 	 248 	0
97年	0	0	0	 3 	 65 	0	 10 	 3,599 	0
97年 1月	0	0	0	0	 12 	0	 2 	 299 	0
97年 2月	0	0	0	0	 1 	0	 1 	 365 	0
97年 3月	0	0	0	0	 2 	0	 2 	 264 	0
97年 4月	0	0	0	0	 3 	0	 1 	 240 	0
97年 5月	0	0	0	0	 5 	0	 3 	 270 	0
97年 6月	0	0	0	0	 6 	0	 1 	 274 	0
97年 7月	0	0	0	0	 3 	0	0	 307 	0
97年 8月	0	0	0	 1 	 6 	0	0	 331 	0
97年 9月	0	0	0	0	 11 	0	0	 329 	0
97年 10月	0	0	0	 1 	 3 	0	0	 301 	0
97年 11月	0	0	0	0	 7 	0	0	 282 	0
97年 12月	0	0	0	 1 	 6 	0	0	 337 	0
98年	0	0	0	 8 	 57 	0	0	 4,161 	0
98年 1月	0	0	0	0	 2 	0	0	 295 	0
98年 2月	0	0	0	 1 	 4 	0	0	 590 	0
98年 3月	0	0	0	 1 	 15 	0	0	 416 	0
98年 4月	0	0	0	0	0	0	0	 366 	0
98年 5月	0	0	0	0	 5 	0	0	 274 	0
98年 6月	0	0	0	0	 4 	0	0	 302 	0
98年 7月	0	0	0	 1 	 2 	0	0	 304 	0
98年 8月	0	0	0	 3 	 2 	0	0	 230 	0
98年 9月	0	0	0	 2 	 6 	0	0	 322 	0
98年 10月	0	0	0	0	 8 	0	0	 410 	0
98年 11月	0	0	0	0	 7 	0	0	 332 	0
98年 12月	0	0	0	0	 2 	0	0	 320 	0
99年	0	 48 	0	 1 	 42 	0	 7 	 4,526 	 1 
99年 1月	0	0	0	0	 2 	0	 1 	 344 	0
99年 2月	0	0	0	0	 2 	0	0	 442 	0
99年 3月	0	0	0	0	 5 	0	0	 483 	0
99年 4月	0	 10 	0	 1 	 1 	0	0	 322 	0
99年 5月	0	 20 	0	0	 11 	0	 1 	 434 	0
99年 6月	0	 10 	0	0	 10 	0	0	 344 	0
99年 7月	0	 1 	0	0	 3 	0	 1 	 333 	0
99年 8月	0	 1 	0	0	 5 	0	 1 	 459 	0
99年 9月	0	 2 	0	0	0	0	0	 344 	0
99年 10月	0	 4 	0	0	 1 	0	0	 371 	0
99年 11月	0	0	0	0	 2 	0	 2 	 354 	0
99年 12月	0	0	0	0	0	0	 1 	 296 	 1 
100年	0	0	0	0	0	0	0	0	0
100年 1月	0	0	0	0	0	0	0	0	0
100年 2月	0	0	0	0	0	0	0	0	0
100年 3月	0	0	0	0	0	0	0	0	0
100年 4月	0	0	0	0	0	0	0	0	0
100年 5月	0	0	0	0	0	0	0	0	0
100年 6月	0	0	0	0	0	0	0	0	0
100年 7月	0	0	0	0	0	0	0	0	0
100年 8月	0	0	0	0	0	0	0	0	0
100年 9月	0	0	0	0	0	0	0	0	0
100年 10月	0	0	0	0	0	0	0	0	0
100年 11月	0	0	0	0	0	0	0	0	0
100年 12月	0	0	0	0	0	0	0	0	0
101年	0	0	0	0	0	0	0	0	0
101年 1月	0	0	0	0	0	0	0	0	0
101年 2月	0	0	0	0	0	0	0	0	0
101年 3月	0	0	0	0	0	0	0	0	0
101年 4月	0	0	0	0	0	0	0	0	0
101年 5月	0	0	0	0	0	0	0	0	0
101年 6月	0	0	0	0	0	0	0	0	0
101年 7月	0	0	0	0	0	0	0	0	0
101年 8月	0	0	0	0	0	0	0	0	0
101年 9月	0	0	0	0	0	0	0	0	0
101年 10月	0	0	0	0	0	0	0	0	0
101年 11月	0	0	0	0	0	0	0	0	0
101年 12月	0	0	0	0	0	0	0	0	0
102年	0	0	0	0	0	0	0	0	0
102年 1月	0	0	0	0	0	0	0	0	0
102年 2月	0	0	0	0	0	0	0	0	0
102年 3月	0	0	0	0	0	0	0	0	0
102年 4月	0	0	0	0	0	0	0	0	0
102年 5月	0	0	0	0	0	0	0	0	0
102年 6月	0	0	0	0	0	0	0	0	0
102年 7月	0	0	0	0	0	0	0	0	0
102年 8月	0	0	0	0	0	0	0	0	0
102年 9月	0	0	0	0	0	0	0	0	0
102年 10月	0	0	0	0	0	0	0	0	0
102年 11月	0	0	0	0	0	0	0	0	0
102年 12月	0	0	0	0	0	0	0	0	0
103年	0	0	0	0	0	0	0	0	0
103年 1月	0	0	0	0	0	0	0	0	0
103年 2月	0	0	0	0	0	0	0	0	0
103年 3月	0	0	0	0	0	0	0	0	0
103年 4月	0	0	0	0	0	0	0	0	0
103年 5月	0	0	0	0	0	0	0	0	0
103年 6月	0	0	0	0	0	0	0	0	0
103年 7月	0	0	0	0	0	0	0	0	0
