時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 81 	0	 1 	 7 	0	 25 	 1 	 3 	 5 
89年 1月	 6 	0	0	 1 	0	 1 	0	0	 1 
89年 2月	 2 	0	0	 4 	0	0	 1 	0	0
89年 3月	 4 	0	0	0	0	0	0	0	0
89年 4月	 11 	0	 1 	0	0	 3 	0	0	 1 
89年 5月	 7 	0	0	0	0	 6 	0	0	 1 
89年 6月	 9 	0	0	 1 	0	 4 	0	 2 	0
89年 7月	 8 	0	0	0	0	 1 	0	 1 	0
89年 8月	 8 	0	0	0	0	 3 	0	0	 1 
89年 9月	 4 	0	0	0	0	 3 	0	0	0
89年 10月	 9 	0	0	0	0	0	0	0	 1 
89年 11月	 6 	0	0	0	0	 3 	0	0	0
89年 12月	 7 	0	0	 1 	0	 1 	0	0	0
90年	 77 	 1 	 2 	 9 	0	 44 	 6 	 8 	 1 
90年 1月	 10 	0	0	 6 	0	 3 	 1 	 1 	0
90年 2月	 2 	0	0	0	0	 4 	0	0	0
90年 3月	 6 	0	0	 1 	0	 3 	0	0	0
90年 4月	 7 	0	 1 	0	0	 1 	0	0	0
90年 5月	 11 	0	0	0	0	 3 	 1 	0	0
90年 6月	 1 	0	0	0	0	 4 	0	0	0
90年 7月	 9 	 1 	0	 1 	0	 3 	 1 	 2 	0
90年 8月	 10 	0	 1 	 1 	0	 5 	0	 1 	0
90年 9月	 5 	0	0	0	0	 5 	 2 	 3 	0
90年 10月	 6 	0	0	0	0	 3 	0	 1 	0
90年 11月	 8 	0	0	0	0	 2 	 1 	0	 1 
90年 12月	 2 	0	0	0	0	 8 	0	0	0
91年	 66 	 3 	0	 6 	0	 53 	 6 	 8 	 1 
91年 1月	 3 	0	0	 1 	0	 10 	0	0	0
91年 2月	 6 	 1 	0	0	0	0	0	0	0
91年 3月	 6 	0	0	 2 	0	 13 	 1 	 2 	0
91年 4月	 4 	0	0	0	0	 3 	0	0	0
91年 5月	 1 	0	0	 1 	0	 4 	 1 	0	 1 
91年 6月	 5 	 1 	0	0	0	 3 	 1 	 1 	0
91年 7月	 7 	0	0	0	0	 3 	0	 1 	0
91年 8月	 7 	0	0	0	0	 2 	0	 1 	0
91年 9月	 7 	 1 	0	 1 	0	 6 	0	 1 	0
91年 10月	 8 	0	0	0	0	 3 	 1 	 1 	0
91年 11月	 7 	0	0	0	0	 3 	0	 1 	0
91年 12月	 5 	0	0	 1 	0	 3 	 2 	0	0
92年	 99 	 2 	 1 	 2 	 2 	 40 	 18 	 8 	 3 
92年 1月	 14 	0	0	0	0	 6 	 1 	 1 	0
92年 2月	 11 	0	0	0	 1 	 3 	0	 1 	0
92年 3月	 11 	0	0	0	 1 	 3 	 1 	 1 	0
92年 4月	 7 	0	0	0	0	 4 	 2 	0	0
92年 5月	 6 	0	0	 1 	0	 2 	 2 	0	 3 
92年 6月	 7 	 1 	0	0	0	 2 	 2 	 1 	0
92年 7月	 5 	0	0	0	0	 5 	 1 	0	0
92年 8月	 6 	0	0	0	0	 6 	 2 	0	0
92年 9月	 9 	 1 	0	0	0	 2 	0	0	0
92年 10月	 11 	0	0	 1 	0	 4 	 2 	 4 	0
92年 11月	 8 	0	0	0	0	 3 	 5 	0	0
92年 12月	 4 	0	 1 	0	0	0	0	0	0
93年	 114 	 2 	 1 	0	0	 78 	 15 	 5 	0
93年 1月	 8 	0	0	0	0	 3 	0	 1 	0
93年 2月	 17 	0	0	0	0	 7 	 2 	0	0
93年 3月	 9 	0	0	0	0	 8 	 1 	0	0
93年 4月	 10 	0	0	0	0	 3 	 1 	 1 	0
93年 5月	 8 	0	 1 	0	0	 8 	 3 	0	0
93年 6月	 6 	0	0	0	0	 7 	 2 	 1 	0
93年 7月	 13 	0	0	0	0	 5 	 4 	0	0
93年 8月	 10 	0	0	0	0	 5 	 1 	0	0
93年 9月	 9 	 1 	0	0	0	 6 	0	0	0
93年 10月	 6 	0	0	0	0	 8 	 1 	0	0
93年 11月	 8 	0	0	0	0	 10 	0	 1 	0
93年 12月	 10 	 1 	0	0	0	 8 	0	 1 	0
