時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 19 	 13 	0	 52 	 40 	 1 	 3 	 10 	 1 
89年 1月	0	0	0	 3 	 3 	0	0	 2 	0
89年 2月	0	 2 	0	 4 	 2 	0	0	0	0
89年 3月	0	 1 	0	 4 	0	0	0	0	0
89年 4月	 4 	 2 	0	 3 	0	0	 1 	0	0
89年 5月	 3 	0	0	 4 	 7 	 1 	 1 	 3 	 1 
89年 6月	 1 	0	0	 6 	 1 	0	0	0	0
89年 7月	0	 1 	0	 4 	 2 	0	0	 1 	0
89年 8月	 3 	0	0	 2 	0	0	 1 	 2 	0
89年 9月	 2 	 2 	0	 6 	 12 	0	0	0	0
89年 10月	 4 	 1 	0	 3 	 2 	0	0	 1 	0
89年 11月	0	 2 	0	 8 	 10 	0	0	0	0
89年 12月	 2 	 2 	0	 5 	 1 	0	0	 1 	0
90年	 29 	 18 	0	 60 	 44 	0	 6 	 19 	0
90年 1月	 5 	 3 	0	 5 	 8 	0	 1 	0	0
90年 2月	 1 	 1 	0	 2 	 2 	0	0	 3 	0
90年 3月	 3 	 3 	0	 4 	0	0	 1 	0	0
90年 4月	 2 	0	0	 2 	 1 	0	0	 5 	0
90年 5月	 2 	 1 	0	 3 	 10 	0	0	 1 	0
90年 6月	 2 	 1 	0	 4 	 6 	0	 1 	 6 	0
90年 7月	 2 	 2 	0	 9 	 3 	0	 1 	 1 	0
90年 8月	 3 	0	0	 10 	 4 	0	 1 	 3 	0
90年 9月	 2 	 3 	0	 5 	 6 	0	0	0	0
90年 10月	 2 	 2 	0	 4 	 3 	0	 1 	0	0
90年 11月	 2 	0	0	 5 	0	0	0	0	0
90年 12月	 3 	 2 	0	 7 	 1 	0	0	0	0
91年	 52 	 13 	0	 68 	 118 	0	 13 	 9 	0
91年 1月	 3 	 1 	0	 3 	 10 	0	0	 1 	0
91年 2月	 5 	 1 	0	 13 	 15 	0	0	0	0
91年 3月	 3 	 1 	0	 23 	 3 	0	0	0	0
91年 4月	 3 	 1 	0	 5 	 7 	0	 3 	0	0
91年 5月	 4 	0	0	 1 	 7 	0	 1 	0	0
91年 6月	 4 	 2 	0	 1 	 4 	0	 1 	 2 	0
91年 7月	 3 	 2 	0	 5 	 14 	0	0	 2 	0
91年 8月	 5 	 1 	0	 4 	 24 	0	0	0	0
91年 9月	 7 	 1 	0	0	 1 	0	 1 	0	0
91年 10月	 5 	 1 	0	 12 	 15 	0	 3 	 1 	0
91年 11月	 5 	 2 	0	 1 	 18 	0	0	 1 	0
91年 12月	 5 	0	0	0	0	0	 4 	 2 	0
92年	 42 	 10 	0	 65 	 83 	0	 15 	 10 	 7 
92年 1月	 5 	0	0	 4 	 12 	0	 2 	 1 	 1 
92年 2月	 3 	0	0	 6 	 9 	0	0	0	 1 
