時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 1 	 4 	0	 4 	 67 	 2 	 4 	 390 	0
89年 1月	0	0	0	0	 10 	0	0	 27 	0
89年 2月	0	 2 	0	0	0	0	0	 19 	0
89年 3月	0	0	0	0	 4 	0	0	 28 	0
89年 4月	0	 1 	0	0	0	0	0	 30 	0
89年 5月	0	0	0	 2 	 1 	0	0	 32 	0
89年 6月	 1 	 1 	0	0	 1 	 1 	0	 25 	0
89年 7月	0	0	0	0	 4 	 1 	 1 	 28 	0
89年 8月	0	0	0	0	 12 	0	 2 	 46 	0
89年 9月	0	0	0	0	 4 	0	 1 	 37 	0
89年 10月	0	0	0	0	 9 	0	0	 40 	0
89年 11月	0	0	0	0	 14 	0	0	 44 	0
89年 12月	0	0	0	 2 	 8 	0	0	 34 	0
90年	 3 	 1 	0	0	 77 	 2 	 4 	 462 	0
90年 1月	 1 	0	0	0	 13 	 2 	0	 62 	0
90年 2月	0	0	0	0	 13 	0	 1 	 44 	0
90年 3月	0	0	0	0	 16 	0	0	 33 	0
90年 4月	 1 	 1 	0	0	 5 	0	0	 44 	0
90年 5月	0	0	0	0	 4 	0	 2 	 36 	0
90年 6月	0	0	0	0	 6 	0	0	 33 	0
90年 7月	0	0	0	0	 6 	0	 1 	 31 	0
90年 8月	0	0	0	0	 3 	0	0	 33 	0
90年 9月	 1 	0	0	0	 2 	0	0	 38 	0
90年 10月	0	0	0	0	 5 	0	0	 32 	0
90年 11月	0	0	0	0	 1 	0	0	 45 	0
90年 12月	0	0	0	0	 3 	0	0	 31 	0
91年	0	 1 	0	 1 	 188 	 1 	 7 	 465 	0
91年 1月	0	0	0	 1 	 4 	0	0	 41 	0
91年 2月	0	0	0	0	 5 	0	0	 48 	0
91年 3月	0	0	0	0	 14 	0	0	 44 	0
91年 4月	0	0	0	0	 19 	0	0	 32 	0
91年 5月	0	0	0	0	 41 	0	 1 	 34 	0
91年 6月	0	0	0	0	 14 	0	 1 	 43 	0
91年 7月	0	0	0	0	 20 	 1 	 1 	 35 	0
91年 8月	0	 1 	0	0	 17 	0	0	 38 	0
91年 9月	0	0	0	0	 12 	0	0	 35 	0
91年 10月	0	0	0	0	 17 	0	0	 46 	0
91年 11月	0	0	0	0	 10 	0	 3 	 35 	0
91年 12月	0	0	0	0	 15 	0	 1 	 34 	0
92年	 3 	 1 	0	 2 	 93 	 1 	 17 	 498 	0
92年 1月	0	0	0	0	 22 	0	 5 	 53 	0
92年 2月	 3 	0	0	0	 17 	 1 	 1 	 40 	0
92年 3月	0	0	0	 1 	 14 	0	 1 	 36 	0
92年 4月	0	0	0	0	 5 	0	0	 35 	0
92年 5月	0	0	0	0	 4 	0	0	 26 	0
92年 6月	0	0	0	0	 4 	0	0	 41 	0
92年 7月	0	0	0	0	 6 	0	0	 39 	0
92年 8月	0	0	0	0	 11 	0	 2 	 36 	0
