時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 5 	0	0	 14 	0	 1 	 1 	 73 	 88 
89年 1月	0	0	0	 1 	0	0	0	 11 	 8 
89年 2月	0	0	0	0	0	0	0	 5 	 8 
89年 3月	0	0	0	 1 	0	 1 	0	 8 	 4 
89年 4月	0	0	0	0	0	0	0	 3 	 6 
89年 5月	 2 	0	0	 1 	0	0	0	 6 	 5 
89年 6月	0	0	0	 2 	0	0	0	 1 	 7 
89年 7月	0	0	0	0	0	0	0	 3 	 10 
89年 8月	 2 	0	0	 1 	0	0	 1 	 6 	 11 
89年 9月	 1 	0	0	 1 	0	0	0	 3 	 3 
89年 10月	0	0	0	 2 	0	0	0	 12 	 13 
89年 11月	0	0	0	 4 	0	0	0	 7 	 6 
89年 12月	0	0	0	 1 	0	0	0	 8 	 7 
90年	 17 	0	0	 29 	0	 2 	 1 	 59 	 142 
90年 1月	0	0	0	 2 	0	0	0	 4 	 18 
90年 2月	 1 	0	0	 1 	0	 1 	0	 2 	 13 
90年 3月	 1 	0	0	 4 	0	0	0	 4 	 11 
90年 4月	0	0	0	 1 	0	0	0	 5 	 8 
90年 5月	0	0	0	 4 	0	0	0	 3 	 8 
90年 6月	 1 	0	0	0	0	0	0	 6 	 15 
90年 7月	 3 	0	0	 5 	0	0	0	 8 	 14 
90年 8月	 2 	0	0	 1 	0	 1 	 1 	 13 	 21 
90年 9月	 2 	0	0	 2 	0	0	0	 3 	 10 
90年 10月	 6 	0	0	 2 	0	0	0	 6 	 8 
90年 11月	 1 	0	0	 4 	0	0	0	 2 	 12 
90年 12月	0	0	0	 3 	0	0	0	 3 	 4 
91年	 11 	0	 2 	 23 	0	0	 1 	 32 	 235 
91年 1月	0	0	0	 2 	0	0	0	 1 	 11 
91年 2月	 1 	0	0	0	0	0	0	 3 	 23 
91年 3月	0	0	0	0	0	0	0	 4 	 33 
91年 4月	0	0	 1 	0	0	0	0	 1 	 23 
91年 5月	0	0	0	 3 	0	0	0	 3 	 18 
91年 6月	 1 	0	0	0	0	0	0	 2 	 8 
91年 7月	0	0	0	 3 	0	0	0	 1 	 13 
91年 8月	 4 	0	0	 3 	0	0	0	 4 	 14 
91年 9月	 1 	0	0	 7 	0	0	0	 3 	 13 
91年 10月	0	0	0	 1 	0	0	0	 3 	 28 
91年 11月	 3 	0	 1 	0	0	0	0	 3 	 24 
91年 12月	 1 	0	0	 4 	0	0	 1 	 4 	 27 
92年	 12 	0	0	 20 	 1 	0	 1 	 39 	 204 
92年 1月	 2 	0	0	 3 	0	0	 1 	 2 	 27 
92年 2月	 2 	0	0	 3 	0	0	0	 1 	 11 
92年 3月	0	0	0	 2 	0	0	0	 3 	 10 
92年 4月	 3 	0	0	 1 	0	0	0	 2 	 18 
92年 5月	 1 	0	0	 2 	0	0	0	 2 	 16 
92年 6月	0	0	0	0	0	0	0	 3 	 9 
92年 7月	 2 	0	0	0	0	0	0	 2 	 19 
92年 8月	0	0	0	 1 	 1 	0	0	 4 	 19 
92年 9月	 1 	0	0	 2 	0	0	0	 6 	 10 
92年 10月	0	0	0	0	0	0	0	 6 	 24 
92年 11月	 1 	0	0	 3 	0	0	0	 5 	 27 
92年 12月	0	0	0	 3 	0	0	0	 3 	 14 
93年	 15 	0	0	 18 	 1 	 2 	 2 	 71 	 228 
93年 1月	 5 	0	0	0	0	0	0	 11 	 25 
93年 2月	 1 	0	0	 3 	0	 1 	0	 7 	 19 
93年 3月	 4 	0	0	 1 	0	0	0	 6 	 22 
93年 4月	0	0	0	 1 	0	0	0	 2 	 12 
93年 5月	 1 	0	0	 3 	0	0	0	 6 	 21 
93年 6月	0	0	0	0	0	0	0	 5 	 9 
93年 7月	0	0	0	 3 	0	0	 1 	 8 	 17 
93年 8月	 1 	0	0	0	0	0	 1 	 6 	 17 
93年 9月	 2 	0	0	 2 	0	 1 	0	 5 	 32 
93年 10月	0	0	0	 1 	0	0	0	 6 	 18 
93年 11月	 1 	0	0	 2 	 1 	0	0	 3 	 21 
93年 12月	0	0	0	 2 	0	0	0	 6 	 15 
94年	 4 	0	0	 23 	0	 1 	 1 	 39 	 193 
94年 1月	0	0	0	 1 	0	0	0	 5 	 22 
94年 2月	0	0	0	 3 	0	0	0	 2 	 18 
94年 3月	0	0	0	 2 	0	0	0	 1 	 18 
94年 4月	0	0	0	0	0	0	0	 4 	 20 
94年 5月	 1 	0	0	 2 	0	0	0	 4 	 18 
94年 6月	0	0	0	 4 	0	0	0	 3 	 12 
94年 7月	 2 	0	0	 1 	0	0	0	 4 	 10 
94年 8月	0	0	0	 1 	0	0	0	 3 	 27 
94年 9月	0	0	0	 2 	0	0	 1 	 3 	 11 
94年 10月	 1 	0	0	 2 	0	0	0	 5 	 11 
94年 11月	0	0	0	 3 	0	 1 	0	 1 	 12 
94年 12月	0	0	0	 2 	0	0	0	 4 	 14 
95年	 6 	0	0	 22 	0	0	0	 43 	 151 
95年 1月	0	0	0	 1 	0	0	0	 6 	 26 
95年 2月	0	0	0	 2 	0	0	0	 4 	 17 
95年 3月	0	0	0	 3 	0	0	0	 7 	 8 
95年 4月	 2 	0	0	0	0	0	0	 1 	 12 
95年 5月	0	0	0	 1 	0	0	0	 5 	 12 
95年 6月	0	0	0	 2 	0	0	0	 2 	 6 
95年 7月	0	0	0	 1 	0	0	0	 5 	 20 
95年 8月	0	0	0	 2 	0	0	0	 7 	 16 
95年 9月	0	0	0	 3 	0	0	0	 2 	 10 
95年 10月	 2 	0	0	 2 	0	0	0	 2 	 8 
95年 11月	0	0	0	 3 	0	0	0	 2 	 9 
95年 12月	 2 	0	0	 2 	0	0	0	0	 7 
96年	 10 	0	 1 	 15 	0	0	0	 30 	 175 
96年 1月	0	0	0	 1 	0	0	0	 3 	 15 
96年 2月	 1 	0	0	0	0	0	0	 3 	 17 
96年 3月	 3 	0	0	0	0	0	0	 2 	 14 
96年 4月	0	0	0	0	0	0	0	 3 	 16 
96年 5月	 2 	0	0	 1 	0	0	0	 2 	 12 
96年 6月	0	0	0	 1 	0	0	0	 4 	 19 
96年 7月	 1 	0	 1 	0	0	0	0	 2 	 19 
96年 8月	0	0	0	 2 	0	0	0	 3 	 19 
96年 9月	 1 	0	0	 2 	0	0	0	 2 	 16 
96年 10月	 1 	0	0	 3 	0	0	0	0	 7 
96年 11月	0	0	0	 3 	0	0	0	 2 	 7 
96年 12月	 1 	0	0	 2 	0	0	0	 4 	 14 
97年	 6 	0	 1 	 24 	 1 	 1 	 2 	 34 	 214 
97年 1月	 1 	0	0	 1 	0	0	0	 4 	 19 
97年 2月	0	0	0	 2 	 1 	0	0	 1 	 18 
97年 3月	 1 	0	0	 2 	0	0	0	 3 	 38 
97年 4月	 1 	0	0	 2 	0	0	0	 1 	 21 
97年 5月	0	0	0	 2 	0	0	 1 	 7 	 28 
97年 6月	0	0	0	 4 	0	0	0	 2 	 15 
97年 7月	0	0	0	 1 	0	0	0	 5 	 17 
97年 8月	 1 	0	 1 	 2 	0	0	0	 3 	 10 
97年 9月	 1 	0	0	 1 	0	0	 1 	 2 	 11 
97年 10月	0	0	0	 2 	0	0	0	 1 	 11 
97年 11月	0	0	0	 1 	0	 1 	0	 5 	 14 
97年 12月	 1 	0	0	 4 	0	0	0	0	 12 
98年	 10 	0	0	 21 	0	0	0	 28 	 258 
98年 1月	0	0	0	0	0	0	0	 1 	 17 
98年 2月	0	0	0	 2 	0	0	0	 2 	 27 
98年 3月	0	0	0	 2 	0	0	0	 5 	 19 
98年 4月	0	0	0	 1 	0	0	0	 3 	 18 
98年 5月	 2 	0	0	 3 	0	0	0	 1 	 18 
98年 6月	 2 	0	0	 2 	0	0	0	 6 	 13 
98年 7月	 1 	0	0	 3 	0	0	0	 1 	 19 
98年 8月	0	0	0	 3 	0	0	0	0	 18 
98年 9月	0	0	0	 4 	0	0	0	 2 	 25 
98年 10月	0	0	0	 1 	0	0	0	 1 	 23 
98年 11月	 4 	0	0	0	0	0	0	 4 	 42 
98年 12月	 1 	0	0	0	0	0	0	 2 	 19 
99年	 2 	0	0	 19 	 1 	0	0	 34 	 208 
99年 1月	0	0	0	 2 	0	0	0	 2 	 10 
99年 2月	0	0	0	 1 	0	0	0	 2 	 11 
99年 3月	0	0	0	 1 	0	0	0	 8 	 18 
99年 4月	 1 	0	0	 2 	0	0	0	 5 	 25 
99年 5月	0	0	0	 1 	0	0	0	 1 	 12 
99年 6月	0	0	0	 2 	0	0	0	 1 	 18 
99年 7月	0	0	0	 1 	0	0	0	 2 	 17 
99年 8月	0	0	0	 1 	0	0	0	 3 	 14 
99年 9月	0	0	0	 2 	0	0	0	0	 22 
99年 10月	 1 	0	0	 2 	0	0	0	 4 	 23 
99年 11月	0	0	0	 2 	 1 	0	0	 2 	 18 
99年 12月	0	0	0	 2 	0	0	0	 4 	 20 
100年	0	0	0	 15 	 1 	 1 	0	 38 	 222 
100年 1月	0	0	0	 1 	0	0	0	 4 	 18 
100年 2月	0	0	0	 1 	0	0	0	 2 	 17 
100年 3月	0	0	0	0	0	0	0	 9 	 19 
100年 4月	0	0	0	 2 	0	0	0	 1 	 8 
100年 5月	0	0	0	 2 	0	0	0	 3 	 18 
100年 6月	0	0	0	 1 	0	0	0	0	 19 
100年 7月	0	0	0	0	0	0	0	 4 	 27 
100年 8月	0	0	0	 2 	0	0	0	 4 	 23 
100年 9月	0	0	0	 1 	0	0	0	 2 	 17 
100年 10月	0	0	0	 1 	0	0	0	 3 	 19 
100年 11月	0	0	0	 3 	 1 	0	0	 4 	 16 
100年 12月	0	0	0	 1 	0	 1 	0	 2 	 21 
101年	0	0	0	 10 	0	0	0	 40 	 237 
101年 1月	0	0	0	 1 	0	0	0	0	 8 
101年 2月	0	0	0	 2 	0	0	0	 7 	 14 
101年 3月	0	0	0	0	0	0	0	 7 	 17 
101年 4月	0	0	0	 1 	0	0	0	 4 	 18 
101年 5月	0	0	0	 2 	0	0	0	 3 	 21 
101年 6月	0	0	0	 1 	0	0	0	 3 	 18 
101年 7月	0	0	0	0	0	0	0	 2 	 24 
101年 8月	0	0	0	0	0	0	0	 3 	 23 
101年 9月	0	0	0	0	0	0	0	 2 	 24 
101年 10月	0	0	0	 3 	0	0	0	 2 	 23 
101年 11月	0	0	0	0	0	0	0	 4 	 21 
101年 12月	0	0	0	0	0	0	0	 3 	 26 
102年	0	0	 1 	 14 	 1 	0	0	 26 	 264 
102年 1月	0	0	0	 2 	 1 	0	0	 3 	 26 
102年 2月	0	0	0	0	0	0	0	 3 	 25 
102年 3月	0	0	0	 3 	0	0	0	 2 	 20 
102年 4月	0	0	0	 1 	0	0	0	 3 	 11 
102年 5月	0	0	0	0	0	0	0	 1 	 22 
102年 6月	0	0	0	 1 	0	0	0	0	 23 
102年 7月	0	0	0	 1 	0	0	0	0	 27 
102年 8月	0	0	 1 	 1 	0	0	0	 1 	 27 
102年 9月	0	0	0	0	0	0	0	 8 	 24 
102年 10月	0	0	0	 2 	0	0	0	 2 	 23 
102年 11月	0	0	0	0	0	0	0	 1 	 16 
102年 12月	0	0	0	 3 	0	0	0	 2 	 20 
103年	0	0	 2 	 17 	0	0	0	 46 	 350 
103年 1月	0	0	 1 	0	0	0	0	 6 	 22 
103年 2月	0	0	0	 1 	0	0	0	 9 	 24 
103年 3月	0	0	0	 2 	0	0	0	 6 	 20 
103年 4月	0	0	0	 3 	0	0	0	 1 	 26 
103年 5月	0	0	0	 1 	0	0	0	 3 	 20 
103年 6月	0	0	0	0	0	0	0	 2 	 22 
103年 7月	0	0	0	 1 	0	0	0	 5 	 45 
