時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 19 	 5 	0	0	 188 	 3 	 63 	 1,473 	0
89年 1月	 4 	0	0	0	 9 	0	 8 	 158 	0
89年 2月	0	 1 	0	0	 12 	 1 	 6 	 102 	0
89年 3月	 1 	0	0	0	 12 	 2 	 5 	 120 	0
89年 4月	 3 	0	0	0	 22 	0	 4 	 126 	0
89年 5月	 1 	0	0	0	 18 	0	 7 	 135 	0
89年 6月	0	0	0	0	 18 	0	 1 	 85 	0
89年 7月	 1 	 1 	0	0	 19 	0	 4 	 112 	0
89年 8月	 3 	 2 	0	0	 38 	0	 6 	 132 	0
89年 9月	 2 	0	0	0	 13 	0	 6 	 117 	0
89年 10月	 3 	0	0	0	 6 	0	 6 	 119 	0
89年 11月	0	 1 	0	0	 6 	0	 3 	 115 	0
89年 12月	 1 	0	0	0	 15 	0	 7 	 152 	0
90年	 6 	 1 	0	 1 	 101 	 7 	 22 	 1,381 	0
90年 1月	0	0	0	0	 9 	0	 1 	 145 	0
90年 2月	0	 1 	0	0	 12 	0	 2 	 137 	0
90年 3月	0	0	0	0	 6 	0	 7 	 139 	0
90年 4月	0	0	0	0	 10 	 1 	 2 	 100 	0
90年 5月	0	0	0	0	 3 	 1 	 1 	 149 	0
90年 6月	 1 	0	0	0	 11 	0	 5 	 95 	0
90年 7月	0	0	0	0	 3 	0	 1 	 63 	0
90年 8月	0	0	0	0	 7 	 1 	0	 89 	0
90年 9月	0	0	0	0	 3 	0	 1 	 132 	0
90年 10月	 1 	0	0	0	 9 	 1 	0	 107 	0
90年 11月	 4 	0	0	 1 	 9 	 1 	0	 119 	0
90年 12月	0	0	0	0	 19 	 2 	 2 	 106 	0
91年	 6 	0	0	0	 191 	 1 	 56 	 1,279 	0
91年 1月	0	0	0	0	 8 	0	 1 	 86 	0
91年 2月	 1 	0	0	0	 11 	0	0	 110 	0
91年 3月	0	0	0	0	 27 	0	 14 	 111 	0
91年 4月	0	0	0	0	 23 	0	 11 	 108 	0
91年 5月	 1 	0	0	0	 19 	0	 2 	 101 	0
91年 6月	 1 	0	0	0	 17 	0	 1 	 116 	0
91年 7月	 1 	0	0	0	 17 	0	 2 	 107 	0
91年 8月	0	0	0	0	 9 	0	 2 	 127 	0
91年 9月	0	0	0	0	 18 	0	 9 	 115 	0
91年 10月	0	0	0	0	 14 	 1 	 6 	 101 	0
91年 11月	0	0	0	0	 14 	0	 3 	 85 	0
91年 12月	 2 	0	0	0	 14 	0	 5 	 112 	0
92年	 5 	 1 	0	0	 132 	0	 130 	 1,314 	0
92年 1月	 1 	0	0	0	 15 	0	 6 	 147 	0
92年 2月	0	0	0	0	 10 	0	 4 	 104 	0
92年 3月	 1 	0	0	0	 20 	0	 7 	 124 	0
92年 4月	0	0	0	0	 7 	0	 12 	 136 	0
92年 5月	 1 	 1 	0	0	 11 	0	 25 	 93 	0
92年 6月	0	0	0	0	 8 	0	 14 	 94 	0
92年 7月	0	0	0	0	 13 	0	 11 	 106 	0
92年 8月	0	0	0	0	 10 	0	 8 	 94 	0
92年 9月	0	0	0	0	 9 	0	 8 	 124 	0
92年 10月	0	0	0	0	 9 	0	 5 	 100 	0
92年 11月	 1 	0	0	0	 6 	0	 13 	 84 	0
92年 12月	 1 	0	0	0	 14 	0	 17 	 108 	0
93年	0	0	0	0	 69 	0	 131 	 2,111 	0
93年 1月	0	0	0	0	 4 	0	 17 	 144 	0
93年 2月	0	0	0	0	 14 	0	 18 	 120 	0
93年 3月	0	0	0	0	 5 	0	 6 	 157 	0
93年 4月	0	0	0	0	 4 	0	 10 	 113 	0
93年 5月	0	0	0	0	 7 	0	 12 	 172 	0
93年 6月	0	0	0	0	 7 	0	 16 	 163 	0
93年 7月	0	0	0	0	 3 	0	 7 	 160 	0
93年 8月	0	0	0	0	 6 	0	 7 	 173 	0
93年 9月	0	0	0	0	 4 	0	 4 	 209 	0
93年 10月	0	0	0	0	 3 	0	 12 	 225 	0
93年 11月	0	0	0	0	 7 	0	 14 	 245 	0
93年 12月	0	0	0	0	 5 	0	 8 	 230 	0
94年	 9 	 1 	0	0	 77 	0	 64 	 2,571 	0
94年 1月	 1 	0	0	0	 3 	0	 3 	 230 	0
94年 2月	 4 	0	0	0	 4 	0	 7 	 232 	0
94年 3月	0	0	0	0	 5 	0	 5 	 166 	0
94年 4月	0	0	0	0	 5 	0	 7 	 190 	0
94年 5月	0	 1 	0	0	 8 	0	 7 	 187 	0
94年 6月	 2 	0	0	0	 5 	0	 6 	 210 	0
94年 7月	0	0	0	0	 1 	0	 1 	 191 	0
94年 8月	0	0	0	0	 21 	0	 1 	 216 	0
94年 9月	 1 	0	0	0	 5 	0	 4 	 238 	0
94年 10月	 1 	0	0	0	 10 	0	 6 	 220 	0
94年 11月	0	0	0	0	 4 	0	 10 	 237 	0
94年 12月	0	0	0	0	 6 	0	 7 	 254 	0
95年	 4 	0	0	0	 92 	0	 35 	 2,598 	0
95年 1月	 2 	0	0	0	 10 	0	 2 	 175 	0
