時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 7 	0	0	 48 	0	 1 	 1 	 107 	 196 
89年 1月	 1 	0	0	 2 	0	0	0	 5 	 16 
89年 2月	 2 	0	0	 4 	0	0	0	 15 	 19 
89年 3月	 1 	0	0	 4 	0	0	0	 17 	 17 
89年 4月	0	0	0	 3 	0	0	 1 	 4 	 18 
89年 5月	 1 	0	0	0	0	0	0	 6 	 17 
89年 6月	 1 	0	0	 2 	0	0	0	 4 	 15 
89年 7月	0	0	0	 2 	0	0	0	 9 	 10 
89年 8月	0	0	0	 3 	0	0	0	 11 	 8 
89年 9月	0	0	0	 2 	0	0	0	 12 	 21 
89年 10月	0	0	0	 5 	0	0	0	 5 	 24 
89年 11月	 1 	0	0	 13 	0	 1 	0	 12 	 16 
89年 12月	0	0	0	 8 	0	0	0	 7 	 15 
90年	 33 	0	0	 41 	0	0	 1 	 74 	 173 
90年 1月	 1 	0	0	 7 	0	0	0	 7 	 15 
90年 2月	 3 	0	0	 4 	0	0	0	 13 	 5 
90年 3月	 1 	0	0	 1 	0	0	0	 5 	 12 
90年 4月	 2 	0	0	 1 	0	0	0	 3 	 12 
90年 5月	 1 	0	0	 1 	0	0	0	 5 	 5 
90年 6月	 4 	0	0	 4 	0	0	0	 4 	 7 
90年 7月	 2 	0	0	 2 	0	0	0	 4 	 12 
90年 8月	 9 	0	0	 5 	0	0	0	 7 	 10 
90年 9月	 3 	0	0	 6 	0	0	 1 	 7 	 19 
90年 10月	 4 	0	0	 3 	0	0	0	 8 	 21 
90年 11月	 1 	0	0	 3 	0	0	0	 6 	 27 
90年 12月	 2 	0	0	 4 	0	0	0	 5 	 28 
91年	 8 	0	0	 56 	0	 2 	0	 98 	 463 
91年 1月	 2 	0	0	 2 	0	0	0	 5 	 18 
91年 2月	0	0	0	 4 	0	0	0	 13 	 16 
91年 3月	0	0	0	 4 	0	0	0	 5 	 30 
91年 4月	 1 	0	0	 4 	0	 1 	0	 4 	 34 
91年 5月	0	0	0	 3 	0	0	0	 9 	 44 
91年 6月	 1 	0	0	 2 	0	0	0	 5 	 35 
91年 7月	0	0	0	 5 	0	0	0	 9 	 30 
91年 8月	 1 	0	0	 7 	0	0	0	 6 	 56 
91年 9月	 1 	0	0	 7 	0	 1 	0	 7 	 30 
91年 10月	0	0	0	 4 	0	0	0	 9 	 59 
91年 11月	0	0	0	 9 	0	0	0	 16 	 57 
91年 12月	 2 	0	0	 5 	0	0	0	 10 	 54 
92年	 21 	0	0	 61 	0	0	 1 	 100 	 708 
92年 1月	0	0	0	 3 	0	0	0	 9 	 53 
92年 2月	 2 	0	0	 2 	0	0	 1 	 4 	 60 
92年 3月	 2 	0	0	 6 	0	0	0	 8 	 84 
92年 4月	 2 	0	0	 4 	0	0	0	 7 	 62 
92年 5月	 3 	0	0	 7 	0	0	0	 4 	 49 
92年 6月	 1 	0	0	 10 	0	0	0	 8 	 35 
92年 7月	 1 	0	0	 6 	0	0	0	 7 	 57 
92年 8月	0	0	0	 5 	0	0	0	 12 	 84 
92年 9月	0	0	0	 5 	0	0	0	 12 	 56 
92年 10月	 1 	0	0	 5 	0	0	0	 8 	 43 
92年 11月	 4 	0	0	 6 	0	0	0	 9 	 71 
92年 12月	 5 	0	0	 2 	0	0	0	 12 	 54 
93年	 35 	0	0	 41 	0	 3 	 1 	 217 	 1,178 
93年 1月	 5 	0	0	 2 	0	0	0	 10 	 58 
93年 2月	 7 	0	0	 2 	0	0	0	 10 	 85 
93年 3月	 3 	0	0	 3 	0	0	0	 27 	 73 
93年 4月	 3 	0	0	 7 	0	0	0	 14 	 75 
93年 5月	 3 	0	0	 2 	0	0	0	 18 	 70 
93年 6月	 2 	0	0	 1 	0	 1 	0	 16 	 115 
93年 7月	 3 	0	0	 6 	0	 1 	0	 8 	 78 
93年 8月	 3 	0	0	 2 	0	0	0	 16 	 103 
93年 9月	0	0	0	 1 	0	0	0	 28 	 123 
93年 10月	 2 	0	0	 4 	0	 1 	0	 24 	 120 
93年 11月	0	0	0	 7 	0	0	0	 21 	 154 
93年 12月	 4 	0	0	 4 	0	0	 1 	 25 	 124 
94年	 10 	0	 1 	 43 	0	 1 	0	 199 	 1,330 
94年 1月	 2 	0	0	 3 	0	0	0	 16 	 78 
94年 2月	 1 	0	0	 4 	0	0	0	 15 	 98 
94年 3月	 1 	0	0	 4 	0	0	0	 17 	 72 
94年 4月	 1 	0	0	 2 	0	0	0	 14 	 111 
94年 5月	0	0	 1 	 4 	0	0	0	 19 	 103 
94年 6月	 1 	0	0	 3 	0	0	0	 24 	 89 
94年 7月	 1 	0	0	 4 	0	0	0	 10 	 156 
94年 8月	 2 	0	0	 3 	0	0	0	 20 	 257 
94年 9月	0	0	0	0	0	 1 	0	 15 	 103 
