時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 34 	 9 	0	 2 	 354 	 8 	 80 	 2,284 	0
89年 1月	 4 	 1 	0	0	 15 	 3 	 8 	 221 	0
89年 2月	0	 1 	0	 2 	 17 	 1 	 6 	 157 	0
89年 3月	 7 	0	0	0	 20 	 3 	 7 	 179 	0
89年 4月	 4 	0	0	0	 28 	0	 5 	 177 	0
89年 5月	 1 	 1 	0	0	 32 	0	 10 	 207 	0
89年 6月	0	 1 	0	0	 43 	0	 9 	 147 	0
89年 7月	 2 	 2 	0	0	 37 	0	 4 	 176 	0
89年 8月	 5 	 2 	0	0	 46 	0	 7 	 204 	0
89年 9月	 4 	0	0	0	 44 	0	 6 	 195 	0
89年 10月	 5 	0	0	0	 27 	0	 7 	 198 	0
89年 11月	 1 	 1 	0	0	 20 	 1 	 3 	 196 	0
89年 12月	 1 	0	0	0	 25 	0	 8 	 227 	0
90年	 41 	 5 	0	 1 	 207 	 19 	 40 	 2,459 	 1 
90年 1月	0	0	0	0	 17 	0	 1 	 238 	0
90年 2月	0	 1 	0	0	 23 	 2 	 2 	 229 	0
90年 3月	0	0	0	0	 17 	 3 	 7 	 222 	0
90年 4月	0	0	0	0	 18 	 1 	 4 	 188 	0
90年 5月	0	0	0	0	 10 	 2 	 1 	 224 	0
90年 6月	 1 	0	0	0	 15 	0	 6 	 164 	0
90年 7月	 1 	0	0	0	 10 	 1 	 1 	 157 	0
90年 8月	0	0	0	0	 19 	 1 	 2 	 164 	0
90年 9月	0	 1 	0	0	 14 	 1 	 7 	 229 	 1 
90年 10月	 1 	 2 	0	0	 16 	 4 	 4 	 188 	0
90年 11月	 38 	0	0	 1 	 19 	 2 	 2 	 227 	0
90年 12月	0	 1 	0	0	 29 	 2 	 3 	 229 	0
91年	 6 	 2 	0	0	 335 	 6 	 73 	 3,031 	 1 
91年 1月	0	0	0	0	 20 	0	 2 	 230 	0
91年 2月	 1 	 1 	0	0	 24 	0	 3 	 292 	 1 
91年 3月	0	0	0	0	 40 	0	 15 	 261 	0
91年 4月	0	0	0	0	 30 	 1 	 14 	 245 	0
91年 5月	 1 	0	0	0	 29 	0	 2 	 222 	0
91年 6月	 1 	0	0	0	 26 	0	 3 	 243 	0
91年 7月	 1 	 1 	0	0	 30 	 2 	 2 	 259 	0
91年 8月	0	0	0	0	 22 	 1 	 3 	 284 	0
91年 9月	0	0	0	0	 41 	0	 10 	 272 	0
91年 10月	0	0	0	0	 26 	 2 	 8 	 245 	0
91年 11月	0	0	0	0	 22 	0	 3 	 244 	0
91年 12月	 2 	0	0	0	 25 	0	 8 	 234 	0
92年	 7 	 1 	0	 1 	 250 	0	 181 	 2,989 	0
92年 1月	 1 	0	0	0	 37 	0	 8 	 335 	0
92年 2月	0	0	0	0	 27 	0	 7 	 285 	0
92年 3月	 1 	0	0	0	 31 	0	 8 	 246 	0
92年 4月	0	0	0	0	 14 	0	 14 	 269 	0
92年 5月	 2 	 1 	0	0	 19 	0	 27 	 233 	0
92年 6月	0	0	0	0	 12 	0	 18 	 206 	0
92年 7月	0	0	0	0	 18 	0	 18 	 235 	0
92年 8月	0	0	0	0	 16 	0	 13 	 219 	0
92年 9月	0	0	0	0	 18 	0	 12 	 264 	0
92年 10月	 1 	0	0	0	 12 	0	 15 	 231 	0
92年 11月	 1 	0	0	0	 12 	0	 19 	 215 	0
92年 12月	 1 	0	0	 1 	 34 	0	 22 	 251 	0
93年	 3 	 1 	0	 3 	 171 	0	 175 	 4,450 	 1 
93年 1月	0	0	0	0	 13 	0	 20 	 289 	0
93年 2月	0	0	0	0	 20 	0	 20 	 300 	0
93年 3月	0	0	0	0	 14 	0	 6 	 342 	 1 
93年 4月	0	0	0	 1 	 8 	0	 13 	 311 	0
93年 5月	0	0	0	0	 19 	0	 16 	 394 	0
93年 6月	0	0	0	0	 13 	0	 23 	 384 	0
93年 7月	 2 	 1 	0	0	 15 	0	 10 	 364 	0
93年 8月	 1 	0	0	0	 18 	0	 11 	 386 	0
93年 9月	0	0	0	 1 	 12 	0	 7 	 414 	0
93年 10月	0	0	0	0	 17 	0	 20 	 406 	0
93年 11月	0	0	0	 1 	 10 	0	 16 	 437 	0
93年 12月	0	0	0	0	 12 	0	 13 	 423 	0
94年	 11 	 2 	0	0	 146 	0	 96 	 4,546 	0
94年 1月	 1 	0	0	0	 6 	0	 3 	 422 	0
94年 2月	 4 	0	0	0	 10 	0	 12 	 382 	0
94年 3月	0	0	0	0	 12 	0	 5 	 338 	0
94年 4月	0	0	0	0	 11 	0	 13 	 342 	0
94年 5月	 2 	 1 	0	0	 23 	0	 14 	 351 	0
94年 6月	 2 	0	0	0	 9 	0	 8 	 388 	0
94年 7月	0	0	0	0	 1 	0	 1 	 343 	0
94年 8月	0	0	0	0	 32 	0	 5 	 373 	0
94年 9月	 1 	0	0	0	 7 	0	 5 	 348 	0
94年 10月	 1 	0	0	0	 15 	0	 8 	 410 	0
94年 11月	0	 1 	0	0	 14 	0	 13 	 414 	0
94年 12月	0	0	0	0	 6 	0	 9 	 435 	0
95年	 4 	0	0	0	 158 	0	 66 	 5,046 	0
95年 1月	 2 	0	0	0	 18 	0	 5 	 352 	0
95年 2月	0	0	0	0	 3 	0	 4 	 479 	0
95年 3月	0	0	0	0	 11 	0	 3 	 492 	0
95年 4月	0	0	0	0	 10 	0	 4 	 408 	0
95年 5月	0	0	0	0	 7 	0	 7 	 422 	0
95年 6月	0	0	0	0	 17 	0	 12 	 366 	0
95年 7月	0	0	0	0	 24 	0	 5 	 379 	0
95年 8月	 1 	0	0	0	 20 	0	 9 	 442 	0
95年 9月	0	0	0	0	 5 	0	 3 	 405 	0
95年 10月	0	0	0	0	 6 	0	 3 	 398 	0
95年 11月	 1 	0	0	0	 7 	0	 4 	 439 	0
95年 12月	0	0	0	0	 30 	0	 7 	 464 	0
96年	 1 	 3 	0	 2 	 269 	0	 85 	 7,223 	0
96年 1月	 1 	 2 	0	0	 15 	0	 6 	 683 	0
96年 2月	0	0	0	0	 10 	0	 9 	 573 	0
96年 3月	0	0	0	0	 10 	0	 10 	 788 	0
96年 4月	0	0	0	0	 35 	0	 14 	 633 	0
96年 5月	0	0	0	0	 25 	0	 1 	 645 	0
96年 6月	0	0	0	0	 35 	0	 6 	 549 	0
96年 7月	0	0	0	 1 	 22 	0	 6 	 596 	0
96年 8月	0	0	0	0	 35 	0	 11 	 540 	0
96年 9月	0	0	0	0	 13 	0	 3 	 474 	0
96年 10月	0	0	0	 1 	 29 	0	 4 	 581 	0
96年 11月	0	 1 	0	0	 16 	0	 9 	 584 	0
96年 12月	0	0	0	0	 24 	0	 6 	 577 	0
97年	 2 	 4 	0	 3 	 208 	0	 26 	 7,046 	0
97年 1月	0	0	0	0	 33 	0	 4 	 570 	0
97年 2月	0	0	0	0	 9 	0	 1 	 619 	0
97年 3月	0	 1 	0	0	 9 	0	 4 	 537 	0
97年 4月	0	0	0	0	 11 	0	 1 	 460 	0
97年 5月	 1 	0	0	0	 21 	0	 5 	 540 	0
97年 6月	 1 	 2 	0	0	 23 	0	 2 	 537 	0
97年 7月	0	0	0	0	 16 	0	 3 	 616 	0
97年 8月	0	0	0	 1 	 28 	0	0	 690 	0
97年 9月	0	 1 	0	0	 22 	0	 4 	 682 	0
97年 10月	0	0	0	 1 	 14 	0	0	 596 	0
97年 11月	0	0	0	0	 10 	0	 1 	 541 	0
97年 12月	0	0	0	 1 	 12 	0	 1 	 658 	0
98年	0	 2 	0	 8 	 143 	0	 8 	 8,513 	0
98年 1月	0	0	0	0	 10 	0	0	 586 	0
98年 2月	0	0	0	 1 	 12 	0	0	 987 	0
98年 3月	0	0	0	 1 	 24 	0	 1 	 828 	0
98年 4月	0	0	0	0	 12 	0	0	 739 	0
98年 5月	0	0	0	0	 12 	0	0	 705 	0
98年 6月	0	0	0	0	 13 	0	 1 	 712 	0
98年 7月	0	0	0	 1 	 5 	0	 2 	 661 	0
98年 8月	0	0	0	 3 	 6 	0	 1 	 609 	0
98年 9月	0	0	0	 2 	 10 	0	 1 	 693 	0
98年 10月	0	0	0	0	 18 	0	0	 745 	0
98年 11月	0	 2 	0	0	 13 	0	0	 647 	0
98年 12月	0	0	0	0	 8 	0	 2 	 601 	0
99年	0	 98 	0	 1 	 163 	0	 21 	 9,400 	 1 
99年 1月	0	0	0	0	 4 	0	 1 	 780 	0
99年 2月	0	0	0	0	 12 	0	 1 	 802 	0
99年 3月	0	0	0	0	 11 	0	 5 	 1,098 	0
99年 4月	0	 15 	0	 1 	 11 	0	 1 	 661 	0
99年 5月	0	 33 	0	0	 30 	0	 1 	 846 	0
99年 6月	0	 25 	0	0	 29 	0	 2 	 801 	0
99年 7月	0	 8 	0	0	 10 	0	 5 	 721 	0
99年 8月	0	 4 	0	0	 9 	0	 2 	 910 	0
99年 9月	0	 5 	0	0	 8 	0	0	 749 	0
99年 10月	0	 4 	0	0	 12 	0	0	 721 	0
99年 11月	0	 2 	0	0	 18 	0	 2 	 688 	0
99年 12月	0	 2 	0	0	 9 	0	 1 	 623 	 1 
100年	 2 	 59 	0	 3 	 139 	0	 17 	 9,198 	 3 
100年 1月	0	 1 	0	0	 1 	0	 1 	 723 	 1 
100年 2月	 1 	 11 	0	0	 5 	0	0	 961 	0
100年 3月	0	 10 	0	 1 	 14 	0	0	 860 	 1 
100年 4月	0	 4 	0	 2 	 12 	0	 2 	 654 	0
