時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 17 	0	0	 83 	0	 2 	 1 	 217 	 561 
89年 1月	 1 	0	0	 3 	0	0	0	 14 	 47 
89年 2月	 4 	0	0	 5 	0	 1 	0	 38 	 66 
89年 3月	 1 	0	0	 7 	0	0	0	 38 	 42 
89年 4月	 1 	0	0	 6 	0	0	 1 	 10 	 39 
89年 5月	 2 	0	0	 4 	0	0	0	 13 	 49 
89年 6月	 1 	0	0	 5 	0	0	0	 12 	 45 
89年 7月	 1 	0	0	 5 	0	0	0	 19 	 35 
89年 8月	0	0	0	 7 	0	0	0	 17 	 45 
89年 9月	 1 	0	0	 5 	0	0	0	 15 	 46 
89年 10月	0	0	0	 11 	0	0	0	 7 	 52 
89年 11月	 4 	0	0	 14 	0	 1 	0	 21 	 48 
89年 12月	 1 	0	0	 11 	0	0	0	 13 	 47 
90年	 59 	0	0	 77 	0	 2 	 1 	 152 	 465 
90年 1月	 2 	0	0	 9 	0	0	0	 11 	 41 
90年 2月	 4 	0	0	 6 	0	0	0	 16 	 34 
90年 3月	 2 	0	0	 5 	0	0	0	 11 	 27 
90年 4月	 5 	0	0	 4 	0	0	0	 7 	 30 
90年 5月	 1 	0	0	 3 	0	0	0	 19 	 20 
90年 6月	 6 	0	0	 6 	0	0	0	 16 	 24 
90年 7月	 8 	0	0	 9 	0	0	0	 7 	 33 
90年 8月	 13 	0	0	 7 	0	0	0	 14 	 31 
90年 9月	 7 	0	0	 9 	0	 2 	 1 	 15 	 49 
90年 10月	 6 	0	0	 5 	0	0	0	 11 	 45 
90年 11月	 2 	0	0	 6 	0	0	0	 12 	 51 
90年 12月	 3 	0	0	 8 	0	0	0	 13 	 80 
91年	 15 	0	0	 98 	 1 	 4 	 1 	 168 	 1,147 
91年 1月	 2 	0	0	 6 	0	0	0	 7 	 61 
91年 2月	 2 	0	0	 5 	0	0	0	 30 	 53 
91年 3月	 2 	0	0	 7 	0	 1 	0	 10 	 106 
91年 4月	 1 	0	0	 8 	0	 1 	0	 6 	 105 
91年 5月	 1 	0	0	 3 	0	0	0	 13 	 117 
91年 6月	 1 	0	0	 2 	0	0	0	 7 	 72 
91年 7月	0	0	0	 15 	0	0	0	 16 	 73 
91年 8月	 2 	0	0	 11 	0	0	0	 14 	 87 
91年 9月	 1 	0	0	 9 	0	 2 	 1 	 14 	 94 
91年 10月	 1 	0	0	 8 	0	0	0	 12 	 131 
