時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 3,372 	 872 	 28 	 161 	 8 	 782 	 83 	 146 	 50 
89年 1月	 266 	 89 	0	 22 	 1 	 46 	 6 	 6 	 10 
89年 2月	 209 	 67 	0	 17 	0	 43 	 6 	 10 	 8 
89年 3月	 242 	 47 	 4 	 17 	0	 67 	 8 	 7 	 3 
89年 4月	 278 	 62 	0	 11 	 1 	 52 	 2 	 8 	 4 
89年 5月	 278 	 74 	 2 	 21 	0	 69 	 7 	 9 	 7 
89年 6月	 248 	 63 	 2 	 6 	0	 62 	 3 	 10 	 3 
89年 7月	 275 	 63 	 5 	 14 	 1 	 76 	 10 	 12 	 2 
89年 8月	 315 	 74 	 5 	 12 	 2 	 81 	 19 	 8 	 2 
89年 9月	 311 	 105 	 3 	 19 	 1 	 83 	 5 	 13 	 4 
89年 10月	 328 	 68 	 5 	 9 	0	 82 	 3 	 26 	 3 
89年 11月	 343 	 81 	 2 	 6 	 2 	 72 	 8 	 19 	 1 
89年 12月	 279 	 79 	0	 7 	0	 49 	 6 	 18 	 3 
90年	 4,580 	 1,648 	 29 	 104 	 5 	 622 	 137 	 99 	 37 
90年 1月	 336 	 76 	 1 	 14 	 2 	 40 	 7 	 8 	 2 
90年 2月	 310 	 76 	 2 	 9 	 1 	 50 	 2 	 8 	 6 
90年 3月	 348 	 99 	0	 12 	 1 	 60 	 1 	 7 	 2 
90年 4月	 416 	 138 	 2 	 10 	0	 47 	 5 	 8 	 3 
90年 5月	 390 	 135 	 1 	 8 	 1 	 56 	 5 	 10 	 2 
90年 6月	 397 	 149 	 1 	 10 	0	 52 	 9 	 4 	0
90年 7月	 424 	 180 	 5 	 4 	0	 59 	 5 	 8 	 4 
90年 8月	 401 	 166 	 6 	 12 	0	 55 	 17 	 13 	 3 
90年 9月	 389 	 142 	 2 	 9 	0	 54 	 15 	 11 	 3 
90年 10月	 428 	 175 	 4 	 7 	0	 42 	 19 	 7 	 5 
90年 11月	 376 	 168 	 3 	 4 	0	 47 	 34 	 5 	 2 
90年 12月	 365 	 144 	 2 	 5 	0	 60 	 18 	 10 	 5 
91年	 5,887 	 2,172 	 38 	 78 	 6 	 591 	 204 	 103 	 43 
91年 1月	 380 	 190 	 2 	 1 	 1 	 49 	 22 	 7 	 5 
91年 2月	 793 	 212 	 10 	 14 	0	 43 	 18 	 7 	 4 
91年 3月	 422 	 148 	 1 	 6 	0	 66 	 26 	 15 	 5 
91年 4月	 445 	 211 	 8 	 9 	 1 	 42 	 13 	 14 	 5 
91年 5月	 455 	 154 	 1 	 3 	0	 44 	 14 	 17 	 7 
91年 6月	 615 	 139 	0	 6 	0	 31 	 7 	 9 	0
91年 7月	 504 	 168 	 5 	 6 	 1 	 38 	 14 	 8 	 3 
91年 8月	 448 	 168 	 3 	 5 	0	 50 	 14 	 4 	 2 
91年 9月	 416 	 184 	 2 	 9 	 1 	 47 	 23 	 3 	 3 
91年 10月	 592 	 217 	 2 	 4 	 1 	 56 	 19 	 9 	 1 
91年 11月	 404 	 217 	 3 	 7 	0	 53 	 14 	 8 	 5 
91年 12月	 413 	 164 	 1 	 8 	 1 	 72 	 20 	 2 	 3 
92年	 5,831 	 2,181 	 48 	 137 	 3 	 607 	 337 	 64 	 68 
92年 1月	 422 	 211 	 2 	 11 	0	 42 	 54 	 6 	 3 
92年 2月	 410 	 193 	 3 	 27 	0	 47 	 20 	 6 	 3 
92年 3月	 580 	 189 	 7 	 15 	0	 38 	 33 	 5 	 6 
92年 4月	 390 	 165 	 4 	 17 	0	 52 	 18 	 4 	 6 
92年 5月	 515 	 200 	 4 	 14 	0	 74 	 19 	 2 	 7 
92年 6月	 531 	 300 	 5 	 7 	0	 59 	 12 	 6 	 8 
92年 7月	 465 	 187 	 3 	 11 	 1 	 55 	 52 	 5 	 5 
92年 8月	 591 	 155 	 5 	 4 	0	 48 	 16 	 5 	 3 
92年 9月	 514 	 129 	 5 	 6 	0	 56 	 19 	 8 	 11 
92年 10月	 572 	 121 	 4 	 11 	0	 50 	 19 	 6 	 8 
92年 11月	 430 	 185 	 3 	 8 	 2 	 46 	 29 	 4 	 3 
92年 12月	 411 	 146 	 3 	 6 	0	 40 	 46 	 7 	 5 
93年	 6,112 	 1,870 	 29 	 115 	 1 	 483 	 715 	 71 	 45 
93年 1月	 413 	 142 	 2 	 5 	 1 	 33 	 41 	 4 	 1 
93年 2月	 497 	 194 	 5 	 15 	0	 23 	 41 	 6 	 2 
93年 3月	 499 	 188 	 3 	 20 	0	 50 	 62 	 5 	 5 
93年 4月	 849 	 167 	 3 	 11 	0	 54 	 111 	 8 	 1 
93年 5月	 556 	 157 	 2 	 7 	0	 42 	 71 	 3 	 7 
93年 6月	 424 	 136 	 2 	 8 	0	 43 	 46 	 3 	 5 
93年 7月	 456 	 137 	 3 	 11 	0	 30 	 61 	 12 	 4 
93年 8月	 466 	 140 	 3 	 7 	0	 31 	 34 	 6 	 3 
93年 9月	 464 	 144 	 3 	 9 	0	 50 	 51 	 4 	 6 
93年 10月	 461 	 148 	0	 6 	0	 49 	 49 	 7 	 2 
93年 11月	 548 	 154 	 2 	 7 	0	 45 	 63 	 6 	 6 
93年 12月	 479 	 163 	 1 	 9 	0	 33 	 85 	 7 	 3 
94年	 6,765 	 2,179 	 37 	 67 	 5 	 508 	 1,433 	 95 	 65 
94年 1月	 399 	 148 	0	 7 	0	 22 	 70 	 3 	 5 
94年 2月	 378 	 114 	 1 	 7 	0	 20 	 54 	 3 	 3 
94年 3月	 677 	 178 	 4 	 7 	0	 46 	 91 	 8 	 4 
94年 4月	 534 	 147 	 1 	 11 	0	 37 	 114 	 11 	 4 
94年 5月	 892 	 182 	 7 	 4 	0	 43 	 328 	 7 	 11 
94年 6月	 486 	 145 	 3 	 7 	0	 66 	 98 	 12 	 7 
94年 7月	 484 	 198 	 1 	 3 	 1 	 40 	 136 	 8 	 3 
94年 8月	 673 	 218 	 2 	 11 	0	 43 	 180 	 11 	 7 
94年 9月	 518 	 229 	 2 	0	 2 	 43 	 102 	 5 	 5 
94年 10月	 593 	 236 	 6 	 3 	 1 	 58 	 116 	 8 	 9 
94年 11月	 659 	 167 	 4 	 2 	0	 50 	 85 	 10 	 3 
94年 12月	 472 	 217 	 6 	 5 	 1 	 40 	 59 	 9 	 4 
95年	 5,811 	 1,643 	 47 	 159 	 4 	 560 	 1,788 	 134 	 59 
95年 1月	 624 	 176 	 3 	 8 	0	 37 	 298 	 13 	 4 
95年 2月	 550 	 277 	 8 	 35 	0	 27 	 199 	 7 	 5 
