時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	 8 	 496 	 59 	 27 	 129 	 5 	 26 	 24 	0
89年 1月	 1 	 34 	 2 	 1 	 9 	0	0	 2 	0
89年 2月	0	 33 	 5 	 1 	 13 	 1 	 4 	 1 	0
89年 3月	 1 	 39 	 6 	 2 	 13 	 1 	 1 	 1 	0
89年 4月	0	 42 	 5 	 4 	 2 	0	 4 	 1 	0
89年 5月	 1 	 32 	 9 	 1 	 15 	0	 2 	 4 	0
89年 6月	0	 48 	 3 	 2 	 7 	0	 2 	 1 	0
89年 7月	0	 47 	 2 	 4 	 10 	 1 	 2 	 1 	0
89年 8月	0	 54 	 8 	 5 	 12 	0	 3 	 3 	0
89年 9月	 1 	 42 	 6 	 2 	 14 	 1 	 1 	0	0
89年 10月	 2 	 30 	 4 	 3 	 13 	0	 1 	 4 	0
89年 11月	 2 	 51 	 5 	0	 16 	 1 	 3 	 4 	0
89年 12月	0	 44 	 4 	 2 	 5 	0	 3 	 2 	0
90年	 31 	 377 	 37 	 89 	 93 	 3 	 33 	 38 	0
90年 1月	 1 	 38 	 5 	 5 	 3 	0	 4 	 1 	0
90年 2月	 1 	 24 	 2 	 1 	 10 	 2 	 3 	 6 	0
90年 3月	 1 	 38 	 4 	 1 	 7 	 1 	0	 4 	0
90年 4月	 2 	 29 	 2 	 4 	 6 	0	 1 	0	0
90年 5月	 1 	 35 	 3 	 3 	 8 	0	 1 	 2 	0
90年 6月	0	 27 	 3 	 4 	 7 	0	 3 	 1 	0
90年 7月	 6 	 32 	 1 	 5 	 7 	0	 3 	 4 	0
90年 8月	 4 	 26 	 3 	 24 	 6 	0	 9 	 5 	0
90年 9月	 3 	 34 	 3 	 2 	 10 	0	 2 	 3 	0
90年 10月	 4 	 33 	 4 	 2 	 8 	0	 4 	 5 	0
90年 11月	 2 	 34 	 4 	 18 	 10 	0	 1 	 6 	0
90年 12月	 6 	 27 	 3 	 20 	 11 	0	 2 	 1 	0
91年	 67 	 314 	 30 	 101 	 113 	 9 	 49 	 25 	 2 
91年 1月	 6 	 26 	 1 	 7 	 6 	 1 	 4 	 1 	0
91年 2月	 14 	 22 	 2 	 5 	 13 	0	 3 	 2 	0
91年 3月	 4 	 30 	 5 	 3 	 8 	 3 	 5 	 3 	0
91年 4月	 6 	 24 	 4 	 7 	 6 	0	 2 	 1 	0
91年 5月	 4 	 30 	 1 	 13 	 13 	0	 12 	 3 	 2 
91年 6月	 7 	 25 	 3 	 2 	 12 	 1 	 2 	 1 	0
91年 7月	 2 	 22 	 1 	 20 	 12 	 1 	 2 	 1 	0
91年 8月	 4 	 23 	0	 23 	 11 	0	 4 	 3 	0
91年 9月	 4 	 21 	 2 	 4 	 11 	 1 	 4 	 4 	0
91年 10月	 10 	 20 	 1 	 7 	 9 	 2 	 5 	 2 	0
91年 11月	 3 	 38 	 6 	 5 	 10 	0	 4 	 3 	0
91年 12月	 3 	 33 	 4 	 5 	 2 	0	 2 	 1 	0
92年	 72 	 338 	 35 	 74 	 94 	 2 	 38 	 47 	0
92年 1月	 9 	 31 	 3 	 6 	 8 	0	 13 	 9 	0
92年 2月	 6 	 33 	 4 	 6 	 9 	0	 1 	 8 	0
92年 3月	 5 	 16 	 4 	 5 	 15 	0	 3 	 4 	0
92年 4月	 2 	 15 	 5 	 7 	 2 	0	 1 	 3 	0
92年 5月	 5 	 43 	 4 	 6 	 8 	 1 	0	0	0
92年 6月	 5 	 22 	 3 	 3 	 9 	0	 4 	 7 	0
92年 7月	 8 	 33 	0	 19 	 6 	0	 1 	 1 	0
92年 8月	 11 	 26 	 4 	 14 	 18 	0	 7 	 3 	0
92年 9月	 4 	 34 	 2 	 2 	 4 	 1 	 2 	 4 	0
92年 10月	 8 	 25 	 2 	 5 	 4 	0	 1 	 2 	0
92年 11月	 4 	 30 	0	0	 4 	0	 3 	 3 	0
92年 12月	 5 	 30 	 4 	 1 	 7 	0	 2 	 3 	0
93年	 27 	 414 	 23 	 91 	 79 	 4 	 39 	 34 	0
93年 1月	 5 	 39 	 1 	 4 	 3 	0	 1 	 3 	0
93年 2月	 9 	 24 	0	 7 	 3 	0	 1 	0	0
93年 3月	 1 	 45 	0	 9 	 2 	 1 	 3 	 2 	0
