時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 10 	0	0	 35 	0	 1 	0	 110 	 365 
89年 1月	0	0	0	 1 	0	0	0	 9 	 31 
89年 2月	 2 	0	0	 1 	0	 1 	0	 23 	 47 
89年 3月	0	0	0	 3 	0	0	0	 21 	 25 
89年 4月	 1 	0	0	 3 	0	0	0	 6 	 21 
89年 5月	 1 	0	0	 4 	0	0	0	 7 	 32 
89年 6月	0	0	0	 3 	0	0	0	 8 	 30 
89年 7月	 1 	0	0	 3 	0	0	0	 10 	 25 
89年 8月	0	0	0	 4 	0	0	0	 6 	 37 
89年 9月	 1 	0	0	 3 	0	0	0	 3 	 25 
89年 10月	0	0	0	 6 	0	0	0	 2 	 28 
89年 11月	 3 	0	0	 1 	0	0	0	 9 	 32 
89年 12月	 1 	0	0	 3 	0	0	0	 6 	 32 
90年	 26 	0	0	 36 	0	 2 	0	 78 	 292 
90年 1月	 1 	0	0	 2 	0	0	0	 4 	 26 
90年 2月	 1 	0	0	 2 	0	0	0	 3 	 29 
90年 3月	 1 	0	0	 4 	0	0	0	 6 	 15 
90年 4月	 3 	0	0	 3 	0	0	0	 4 	 18 
90年 5月	0	0	0	 2 	0	0	0	 14 	 15 
90年 6月	 2 	0	0	 2 	0	0	0	 12 	 17 
90年 7月	 6 	0	0	 7 	0	0	0	 3 	 21 
90年 8月	 4 	0	0	 2 	0	0	0	 7 	 21 
90年 9月	 4 	0	0	 3 	0	 2 	0	 8 	 30 
90年 10月	 2 	0	0	 2 	0	0	0	 3 	 24 
90年 11月	 1 	0	0	 3 	0	0	0	 6 	 24 
90年 12月	 1 	0	0	 4 	0	0	0	 8 	 52 
91年	 7 	0	0	 42 	 1 	 2 	 1 	 70 	 684 
91年 1月	0	0	0	 4 	0	0	0	 2 	 43 
91年 2月	 2 	0	0	 1 	0	0	0	 17 	 37 
91年 3月	 2 	0	0	 3 	0	 1 	0	 5 	 76 
91年 4月	0	0	0	 4 	0	0	0	 2 	 71 
91年 5月	 1 	0	0	0	0	0	0	 4 	 73 
91年 6月	0	0	0	0	0	0	0	 2 	 37 
91年 7月	0	0	0	 10 	0	0	0	 7 	 43 
91年 8月	 1 	0	0	 4 	0	0	0	 8 	 31 
91年 9月	0	0	0	 2 	0	 1 	 1 	 7 	 64 
91年 10月	 1 	0	0	 4 	0	0	0	 3 	 72 
91年 11月	0	0	0	 4 	0	0	0	 8 	 69 
91年 12月	0	0	0	 6 	 1 	0	0	 5 	 68 
92年	 17 	0	 1 	 43 	 2 	0	0	 70 	 667 
92年 1月	 2 	0	0	 3 	0	0	0	 10 	 69 
92年 2月	 1 	0	0	 7 	0	0	0	 8 	 90 
92年 3月	0	0	0	 3 	0	0	0	 4 	 72 
92年 4月	 3 	0	0	 4 	0	0	0	 11 	 59 
92年 5月	 1 	0	0	 1 	0	0	0	 4 	 56 
92年 6月	 2 	0	0	 2 	0	0	0	 2 	 50 
92年 7月	 2 	0	0	 4 	0	0	0	 6 	 57 
92年 8月	 1 	0	0	 6 	0	0	0	 4 	 64 
92年 9月	0	0	 1 	 1 	0	0	0	 6 	 39 
92年 10月	0	0	0	 6 	0	0	0	 3 	 42 
92年 11月	 2 	0	0	 2 	0	0	0	 5 	 32 
92年 12月	 3 	0	0	 4 	 2 	0	0	 7 	 37 
93年	 15 	0	 1 	 31 	0	 1 	0	 141 	 832 
93年 1月	 2 	0	0	 3 	0	0	0	 6 	 52 
93年 2月	 3 	0	0	 1 	0	0	0	 9 	 53 
93年 3月	 2 	0	0	 3 	0	0	0	 11 	 52 
93年 4月	0	0	 1 	 3 	0	0	0	 13 	 54 
93年 5月	0	0	0	 1 	0	0	0	 6 	 81 
93年 6月	0	0	0	 2 	0	0	0	 9 	 92 
93年 7月	 6 	0	0	 1 	0	0	0	 13 	 84 
93年 8月	 1 	0	0	 1 	0	0	0	 23 	 110 
93年 9月	 1 	0	0	 5 	0	0	0	 16 	 64 
93年 10月	0	0	0	 4 	0	0	0	 15 	 56 
93年 11月	0	0	0	 5 	0	0	0	 13 	 61 
93年 12月	0	0	0	 2 	0	 1 	0	 7 	 73 
94年	 5 	0	0	 30 	 1 	0	0	 95 	 615 
94年 1月	0	0	0	 6 	0	0	0	 10 	 51 
94年 2月	 1 	0	0	0	0	0	0	 8 	 43 
94年 3月	 1 	0	0	 4 	0	0	0	 6 	 47 
94年 4月	 1 	0	0	 1 	 1 	0	0	 12 	 43 
94年 5月	0	0	0	 3 	0	0	0	 10 	 35 
94年 6月	 1 	0	0	 3 	0	0	0	 8 	 63 
94年 7月	0	0	0	 1 	0	0	0	 7 	 57 
94年 8月	 1 	0	0	 1 	0	0	0	 4 	 106 
94年 9月	0	0	0	 3 	0	0	0	 7 	 49 
94年 10月	0	0	0	 5 	0	0	0	 6 	 41 
94年 11月	0	0	0	0	0	0	0	 6 	 58 
94年 12月	0	0	0	 3 	0	0	0	 11 	 22 
95年	 7 	0	 1 	 33 	0	0	 1 	 97 	 623 
95年 1月	 1 	0	0	0	0	0	0	 17 	 62 
95年 2月	0	0	0	 2 	0	0	0	 17 	 58 
95年 3月	0	0	0	 4 	0	0	0	 8 	 37 
